topic_str,post
4,"It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country."
1,"If they had a pre existing condition, they might not be able to get coverage at all."
1,"If they did have coverage, insurance companies might impose an arbitrary limit."
1,"And so as a consequence, they're paying their premiums, somebody gets really sick, lo and behold, they don't have enough money to pay the bills, because the insurance companies say that they've hit the limit."
2,"So we did work on this, alongside working on jobs, because this is part of making sure that middle class families are secure in this country."
1,And let me tell you exactly what Obamacare did.
1,"Number one, if you've got health insurance, it doesn't mean a government takeover."
1,You keep your own insurance.
34,You keep your own doctor.
1,But it does say insurance companies can't jerk you around.
9,They can't impose arbitrary lifetime limits.
1,They have to let you keep your kid on their insurance your insurance plan until you're twenty six years old.
1,And it also says that you're going to have to get rebates if insurance companies are spending more on administrative costs and profits than they are on actual care.
1,"Number two, if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically eighteen percent lower than if you're out there trying to get insurance on the individual market."
16,"Now, the last point I'd make before|"
14,"No, I think I had five seconds before you interrupted me, was the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there."
2,It hasn't destroyed jobs.
1,"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold."
14,Governor Romney said this has to be done on a bipartisan basis.
16,This was a bipartisan idea.
9,"In fact, it was a Republican idea."
14,And Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation.
16,"And I agree that the Democratic legislators in Massachusetts might have given some advice to Republicans in Congress about how to cooperate, but the fact of the matter is, we used the same advisers, and they say it's the same plan."
1,"It when Governor Romney talks about this board, for example, unelected board that we've created, what this is, is a group of health care experts, doctors, et cetera, to figure out, how can we reduce the cost of care in the system overall?"
1,Because there there are two ways of dealing with our health care crisis.
1,"One is to simply leave a whole bunch of people uninsured and let them fend for themselves, to let businesses figure out how long they can continue to pay premiums until finally they just give up, and their workers are no longer getting insured, and that's been the trend line."
34,"Or, alternatively, we can figure out, how do we make the cost of care more effective?"
9,And there are ways of doing it.
1,"So at Cleveland Clinic, one of the best health care systems in the world, they actually provide great care cheaper than average."
9,And the reason they do is because they do some smart things.
1,"They they say, if a patient's coming in, let's get all the doctors together at once, do one test instead of having the patient run around with ten tests."
34,Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes.
34,Let's let's pay providers on the basis of performance as opposed to on the basis of how many procedures they've they've engaged in.
34,"Now, so what this board does is basically identifies best practices and says, let's use the purchasing power of Medicare and Medicaid to help to institutionalize all these good things that we do."
1,"And the fact of the matter is that, when Obamacare is fully implemented, we're going to be in a position to show that costs are going down."
1,"And over the last two years, health care premiums have gone up it's true but they've gone up slower than any time in the last fifty years."
9,So we're already beginning to see progress.
1,"In the meantime, folks out there with insurance, you're already getting a rebate."
0,Let me make one last point.
14,"Governor Romney says, we should replace it, I'm just going to repeal it, but but we can replace it with something."
9,"But the problem is, he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states."
1,"But the fact of the matter is that some of the prescriptions that he's offered, like letting you buy insurance across state lines, there's no indication that that somehow is going to help somebody who's got a pre existing condition be able to finally buy insurance."
1,"In fact, it's estimated that by repealing Obamacare, you're looking at fifty million people losing health insurance|"
30,at a time when it's vitally important.
8,Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given.
9,That's explicitly prohibited in the law.
1,"But let's go back to what Governor Romney indicated, that under his plan, he would be able to cover people with preexisting conditions."
14,"Well, actually Governor, that isn't what your plan does."
1,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've if it's been under ninety days."
1,But that's already the law and that doesn't help the millions of people out there with preexisting conditions.
14,There's a reason why Governor Romney set up the plan that he did in Massachusetts.
1,It wasn't a government takeover of health care.
1,It was the largest expansion of private insurance.
1,"But what it does say is that insurers, you've got to take everybody."
18,"Now, that also means that you've got more customers."
1,"But when when Governor Romney says that he'll replace it with something, but can't detail how it will be in fact replaced and the reason he set up the system he did in Massachusetts was because there isn't a better way of dealing with the preexisting conditions problem."
4,"It just reminds me of, you know, he says that he's going to close deductions and loopholes for his tax plan."
4,"That's how it's going to be paid for, but we don't know the details."
23,"He says that he's going to replace Dodd Frank, Wall Street reform, but we don't know exactly which ones."
30,He won't tell us.
1,He now says he's going to replace Obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry.
14,"And at some point, I think the American people have to ask themselves, is the reason that Governor Romney is keeping all these plans to replace secret because they're too good?"
20,Is it is it because that somehow middle class families are going to benefit too much from them?
0,No.
2,"The reason is, is because, when we reform Wall Street, when we tackle the problem of pre existing conditions, then, you know, these are tough problems and we've got to make choices."
20,And the choices we've made have been ones that ultimately are benefiting middle class families all across the country.
0,"Well, I definitely think there are differences."
31,The first role of the federal government is to keep the American people safe.
0,That's its most basic function.
9,"And as commander in chief, that is something that I've worked on and thought about every single day that I've been in the Oval Office."
2,"But I also believe that government has the capacity, the federal government has the capacity to help open up opportunity and create ladders of opportunity and to create frameworks where the American people can succeed."
25,"Look, the genius of America is the free enterprise system and freedom and the fact that people can go out there and start a business, work on an idea, make their own decisions."
32,"But as Abraham Lincoln understood, there are also some things we do better together."
13,"So, in the middle of the Civil War, Abraham Lincoln said, let's help to finance the Transcontinental Railroad, let's start the National Academy of Sciences, let's start land grant colleges, because we want to give these gateways of opportunity for all Americans, because if all Americans are getting opportunity, we're all going to be better off."
9,That doesn't restrict people's freedom.
0,That enhances it.
9,And so what I've tried to do as president is to apply those same principles.
13,And when it comes to education what I've said is we've got to reform schools that are not working.
9,We use something called Race to the Top.
14,"Wasn't a top down approach, Governor."
4,"What we've said is to states, we'll give you more money if you initiate refor Miss And as a consequence, you had forty six states around the country who have made a real difference."
2,But what I've also said is let's hire another one hundred thousand math and science teachers to make sure we maintain our technological lead and our people are skilled and able to succeed.
30,And hard pressed states right now can't all do that.
13,"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers."
34,"I do, because I think that that is the kind of investment where the federal government can help."
0,"It can't do it all, but it can make a difference."
2,And as a consequence we'll have a better trained workforce and that will create jobs because companies want to locate in places where we've got a skilled workforce.
8,"Well, as I've indicated, I think that it has a significant role to play."
16,"Through our Race to the Top program, we've worked with Republican and Democratic governors to initiate major reforms, and they're having an impact right now."
4,"You know, this is where budgets matter, because budgets reflect choices."
14,"So when Governor Romney indicates that he wants to cut taxes and potentially benefit folks like me and him, and to pay for it we're having to initiate significant cuts in federal support for education, that makes a difference."
4,"You know, his his running mate, Congressman Ryan, put forward a budget that reflects many of the principles that Governor Romney's talked about."
4,And it wasn't very detailed.
0,This seems to be a trend.
4,"But but what it did do is to if you extrapolated how much money we're talking about, you'd look at cutting the education budget by up to twenty percent."
13,"When it comes to community colleges, we are seeing great work done out there all over the country because we have the opportunity to train people for jobs that exist right now."
13,And one of the things I suspect Governor Romney and I probably agree on is getting businesses to work with community colleges so that they're setting up their training progra Miss |
0,Let me just finish the point.
13,The where they're partnering so that they're designing training progra Miss And people who are going through them know that there's a job waiting for them if they complete it.
9,"That makes a big difference, but that requires some federal support."
16,Let me just say one final example.
13,"When it comes to making college affordable, whether it's two year or four year, one of the things that I did as president was we were sending dollar sixty billion to banks and lenders as middlemen for the student loan program, even though the loans were guaranteed."
4,"So there was no risk for the banks or the lenders, but they were taking billions out of the system."
4,"And we said, Why not cut out the middleman?"
13,"And as a consequence, what we've been able to do is to provide millions more students assistance, lower or keep low interest rates on student loans."
5,And this is an example of where our priorities make a difference.
13,"Governor Romney, I genuinely believe cares about education, but when he tells a student that, you know, you should borrow money from your parents to go to college, you know, that indicates the degree to which, you know, there may not be as much of a focus on the fact that folks like myself, folks like Michelle, kids probably who attend University of Denver, just don't have that option."
13,"And for us to be able to make sure that they've got that opportunity and they can walk through that door, that is vitally important not just to those kids."
2,It's how we're going to grow this economy over the long term.
18,You've done a great job.
14,"Well, first of all, I think Governor Romney's going to have a busy first day, because he's also going to repeal Obamacare, which will not be very popular among Democrats as you're sitting down with them."
20,"But, look, my philosophy has been, I will take ideas from anybody, Democrat or Republican, as long as they're advancing the cause of making middle class families stronger and giving ladders of opportunity to the middle class."
25,That's how we cut taxes for middle class families and small businesses.
4,That's how we cut a trillion dollars of spending that wasn't advancing that cause.
2,That's how we signed three trade deals into law that are helping us to double our exports and sell more American products around the world.
9,That's how we repealed don't ask/don't tell.
8,"That's how we ended the war in Iraq, as I promised, and that's how we're going to wind down the war in Afghanistan."
29,That's how we went after Al Qaida and bin Laden.
16,So we've we've seen progress even under Republican control of the House of Representatives.
14,"But, ultimately, part of being principled, part of being a leader is, A, being able to describe exactly what it is that you intend to do, not just saying, I'll sit down, but you have to have a plan."
30,"Number two, what's important is occasionally you've got to say no, to to to folks both in your own party and in the other party."
4,"And, you know, yes, have we had some fights between me and the Republicans when when they fought back against us reining in the excesses of Wall Street?"
18,"Absolutely, because that was a fight that needed to be had."
1,"When when we were fighting about whether or not we were going to make sure that Americans had more security with their health insurance and they said no, yes, that was a fight that we needed to have."
9,"And so part of leadership and governing is both saying what it is that you are for, but also being willing to say no to some things."
14,"And I've got to tell you, Governor Romney, when it comes to his own party during the course of this campaign, has not displayed that willingness to say no to some of the more extreme parts of his party."
14,"Well, Jim, I want to thank you, and I want to thank Governor Romney, because I think was a terrific debate, and I very much appreciate it."
26,And I want to thank the University of Denver.
29,"You know, four years ago, we were going through a major crisis."
14,And yet my faith and confidence in the American future is undiminished.
20,"And the reason is because of its people, because of the woman I met in North Carolina who decided at fifty five to go back to school because she wanted to inspire her daughter and now has a job from that new training that she's gotten; because a company in Minnesota who was willing to give up salaries and perks for their executives to make sure that they didn't lay off workers during a recession."
11,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America."
8,And so the question now is how do we build on those strengths.
2,"And everything that I've tried to do, and everything that I'm now proposing for the next four years in terms of improving our education system or developing American energy or making sure that we're closing loopholes for companies that are shipping jobs overseas and focusing on small businesses and companies that are creating jobs here in the United States, or closing our deficit in a responsible, balanced way that allows us to invest in our future."
9,"All those things are designed to make sure that the American people, their genius, their grit, their determination, is is channeled and and they have an opportunity to succeed."
26,And everybody's getting a fair shot.
20,"And everybody's getting a fair share everybody's doing a fair share, and everybody's playing by the same rules."
9,"You know, four years ago, I said that I'm not a perfect man and I wouldn't be a perfect president."
14,And that's probably a promise that Governor Romney thinks I've kept.
20,"But I also promised that I'd fight every single day on behalf of the American people, the middle class, and all those who were striving to get into the middle class."
30,"I've kept that promise and if you'll vote for me, then I promise I'll fight just as hard in a second term."
18,"Jeremy, first of all, your future is bright."
13,And the fact that you're making an investment in higher education is critical.
28,"Not just to you, but to the entire nation."
2,"Now, the most important thing we can do is to make sure that we are creating jobs in this country."
2,"But not just jobs, good paying jobs."
20,Ones that can support a family.
2,"And what I want to do, is build on the five million jobs that we've created over the last thirty months in the private sector alone."
13,And there are a bunch of things we can do to make sure your future is bright.
2,"Number one, I want to build manufacturing jobs in this country again."
14,Now when Governor Romney said we should let Detroit go bankrupt.
2,I said we're going to bet on American workers and the American auto industry and it's come surging back.
2,"I want to do that in industries, not just in Detroit, but all across the country and that means we change our tax code so we're giving incentives to companies that are investing here in the United States and creating jobs here."
25,It also means we're helping them and small businesses to export all around the world to new markets.
13,"Number two, we've got to make sure that we have the best education system in the world."
13,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future."
12,"Number three, we've got to control our own energy."
12,"Now, not only oil and natural gas, which we've been investing in; but also, we've got to make sure we're building the energy source of the future, not just thinking about next year, but ten years from now, twenty years from now."
12,"That's why we've invested in solar and wind and biofuels, energy efficient cars."
4,"We've got to reduce our deficit, but we've got to do it in a balanced way."
13,Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours.
4,"And let's take the money that we've been spending on war over the last decade to rebuild America, roads, bridges schools."
9,"We do those things, not only is your future going to be bright but America's future is going to bright as well."
14,"Candy, what Governor Romney said just isn't true."
25,He wanted to take them into bankruptcy without providing them any way to stay open.
2,And we would have lost a million jobs.
14,"And that don't take my word for it, take the executives at GM and Chrysler, some of whom are Republicans, may even support Governor Romney."
2,But they'll tell you his prescription wasn't going to work.
14,And Governor Romney's says he's got a five point plan?
14,Governor Romney doesn't have a five point plan.
0,He has a one point plan.
9,And that plan is to make sure that folks at the top play by a different set of rules.
14,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate."
20,You can make a lot of money and pay lower tax rates than somebody who makes a lot less.
2,You can ship jobs overseas and get tax breaks for it.
25,"You can invest in a company, bankrupt it, lay off the workers, strip away their pensions, and you still make money."
9,That's exactly the philosophy that we've seen in place for the last decade.
20,That's what's been squeezing middle class families.
9,And we have fought back for four years to get out of that mess.
9,The last thing we need to do is to go back to the very same policies that got us there.
12,The most important thing we can do is to make sure we control our own energy.
9,So here's what I've done since I've been president.
12,We have increased oil production to the highest levels in sixteen years.
12,Natural gas production is the highest it's been in decades.
2,We have seen increases in coal production and coal employment.
12,But what I've also said is we can't just produce traditional source of energy.
8,We've also got to look to the future.
12,That's why we doubled fuel efficiency standards on cars.
12,"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas."
12,That's why we doubled clean clean energy production like wind and solar and biofuels.
12,And all these things have contributed to us lowering our oil imports to the lowest levels in sixteen years.
16,"Now, I want to build on that."
12,"And that means, yes, we still continue to open up new areas for drilling."
12,We continue to make it a priority for us to go after natural gas.
12,We've got potentially six hundred thousand jobs and one hundred years worth of energy right beneath our feet with natural gas.
12,And we can do it in an environmentally sound way.
12,"But we've also got to continue to figure out how we have efficiency energy, because ultimately that's how we're going to reduce demand and that's what's going to keep gas prices lower."
12,"Now, Governor Romney will say he's got an all of the above plan, but basically his plan is to let the oil companies write the energy policies."
12,"So he's got the oil and gas part, but he doesn't have the clean energy part."
4,"And if we are only thinking about tomorrow or the next day and not thinking about ten years from now, we're not going to control our own economic future."
2,"Because China, Germany, they're making these investments."
2,And I'm not going to cede those jobs of the future to those countries.
12,I expect those new energy sources to be built right here in the United States.
2,That's going to help Jeremy get a job.
12,It's also going to make sure that you're not paying as much for gas.
12,"Candy, there's no doubt that world demand's gone up, but our production is going up, and we're using oil more efficiently."
14,And very little of what Governor Romney just said is true.
3,We've opened up public lands.
12,We're actually drilling more on public lands than in the previous administration and my the previous president was an oil man.
12,And natural gas isn't just appearing magically.
2,We're encouraging it and working with the industry.
14,"And when I hear Governor Romney say he's a big coal guy, I mean, keep in mind, when Governor, when you were governor of Massachusetts, you stood in front of a coal plant and pointed at it and said, This plant kills, and took great pride in shutting it down."
12,And now suddenly you're a big champion of coal.
9,So what I've tried to do is be consistent.
12,"With respect to something like coal, we made the largest investment in clean coal technology, to make sure that even as we're producing more coal, we're producing it cleaner and smarter."
12,"Same thing with oil, same thing with natural gas."
12,And the proof is our oil imports are down to the lowest levels in twenty years.
12,"Oil production is up, natural gas production is up, and, most importantly, we're also starting to build cars that are more efficient."
2,And that's creating jobs.
12,"That means those cars can be exported, 'cause that's the demand around the world, and it also means that it'll save money in your pocketbook."
8,"That's the strategy you need, an all of the above strategy, and that's what we're going to do in the next four years."
14,"Not true, Governor Romney."
0,Not true.
12,"Governor, we have actually produced more oil."
14,"Governor Romney, here's what we did."
12,There were a whole bunch of oil companies.
0,You want me to answer a question?
18,I'm happy to answer the question.
0,Here's what happened.
12,You had a whole bunch of oil companies who had leases on public lands that they weren't using.
12,"So what we said was you can't just sit on this for ten, twenty, thirty years, decide when you want to drill, when you want to produce, when it's most profitable for you."
0,These are public lands.
12,"So if you want to drill on public lands, you use it or you lose it."
9,And so what we did was take away those leases.
20,And we are now reletting them so that we can actually make a profit.
0,Production is up.
0,"No, it isn't."
0,Governor.
0,It's just not true.
0,Well|
0,.
0,OK.
14,"Well, think about what the governor think about what the governor just said."
14,"He said when I took office, the price of gasoline was dollar one."
0,"eighty, dollar one."
0,eighty six.
0,Why is that?
2,"Because the economy was on the verge of collapse, because we were about to go through the worst recession since the Great Depression, as a consequence of some of the same policies that Governor Romney's now promoting."
14,"So, it's conceivable that Governor Romney could bring down gas prices because with his policies, we might be back in that same mess."
12,"What I want to do is to create an economy that is strong, and at the same time produce energy."
12,"And with respect to this pipeline that Governor Romney keeps on talking about, we've we've built enough pipeline to wrap around the entire earth once."
12,"So, I'm all for pipelines."
12,I'm all for oil production.
4,What I'm not for is us ignoring the other half of the equation.
2,"So, for example, on wind energy, when Governor Romney says these are imaginary jobs."
12,"When you've got thousands of people right now in Iowa, right now in Colorado, who are working, creating wind power with good paying manufacturing jobs, and the Republican senator in that in Iowa is all for it, providing tax breaks to help this work and Governor Romney says I'm opposed."
0,I'd get rid of it.
12,That's not an energy strategy for the future.
26,And we need to win that future.
9,And I intend to win it as President of the United States.
0,"Candy, it's not going to|"
0,Used to being interrupted.
0,You're doing great.
33,My philosophy on taxes has been simple.
20,"And that is, I want to give middle class families and folks who are striving to get into the middle class some relief."
26,Because they have been hit hard over the last decade.
28,"Over the last fifteen, over the last twenty years."
29,So four years ago I stood on a stage just like this one.
4,"Actually it was a town hall, and I said I would cut taxes for middle class families, and that's what I've done, by dollar three thousand six hundred|"
25,"I said I would cut taxes for small businesses, who are the drivers and engines of growth."
4,And we've cut them eighteen times.
25,"And I want to continue those tax cuts for middle class families, and for small business."
4,"But what I've also said is, if we're serious about reducing the deficit, if this is genuinely a moral obligation to the next generation, then in addition to some tough spending cuts, we've also got to make sure that the wealthy do a little bit more."
14,"So what I've said is, your first dollar two hundred fifty thousand."
20,"worth of income, no change."
25,"And that means ninety eight percent of American families, ninety seven percent of small businesses, they will not see a tax increase."
16,I'm ready to sign that bill right now.
4,The only reason it's not happening is because Governor Romney's allies in Congress have held the ninety eight percent hostage because they want tax breaks for the top two percent.
4,"But what I've also says is for above dollar two hundred fifty thousand, we can go back to the tax rates we had when Bill Clinton was president."
2,We created twenty three million new jobs.
4,That's part of what took us from deficits to surplus.
2,It will be good for our economy and it will be good for job creation.
14,"Now, Governor Romney has a different philosophy."
20,"He was on sixty Minutes just two weeks ago and he was asked: Is it fair for somebody like you, making dollar twenty million a year, to pay a lower tax rate than a nurse or a bus driver, somebody making dollar fifty thousand year?"
14,"And he said, Yes, I think that's fair."
2,"Not only that, he said, I think that's what grows the economy."
0,"Well, I fundamentally disagree with that."
2,I think what grows the economy is when you get that tax credit that we put in place for your kids going to college.
2,I think that grows the economy.
25,I think what grows the economy is when we make sure small businesses are getting a tax credit for hiring veterans who fought for our country.
2,That grows our economy.
0,So we just have a different theory.
14,"And when Governor Romney stands here, after a year of campaigning, when during a Republican primary he stood on stage and said I'm going to give tax cuts he didn't say tax rate cuts, he said tax cuts to everybody, including the top one percent, you should believe him because that's been his history."
20,And that's exactly the kind of top down economics that is not going to work if we want a strong middle class and an economy that's striving for everybody.
0,"No, it's not settled."
1,"Look, the cost of lowering rates for everybody across the board, twenty percent."
4,"Along with what he also wants to do in terms of eliminating the estate tax, along what he wants to do in terms of corporates, changes in the tax code, it costs about dollar five trillion."
4,Governor Romney then also wants to spend dollar two trillion on additional military programs even though the military's not asking for them.
4,That's dollar seven trillion.
4,He also wants to continue the Bush tax cuts for the wealthiest Americans.
4,That's another trillion dollars that's dollar eight trillion.
4,"Now, what he says is he's going to make sure that this doesn't add to the deficit and he's going to cut middleclass taxes."
33,"But when he's asked, how are you going to do it, which deductions, which loopholes are you going to close?"
0,He can't tell you.
4,The the fact that he only has to pay fourteen percent on his taxes when a lot of you are paying much higher.
4,"He's already taken that off the board, capital gains are going to continue to be at a low rate so we we're not going to get money that way."
14,We haven't heard from the governor any specifics beyond Big Bird and eliminating funding for Planned Parenthood in terms of how he pays for that.
14,"Now, Governor Romney was a very successful investor."
4,"If somebody came to you, Governor, with a plan that said, here, I want to spend dollar seven or dollar eight trillion, and then we're going to pay for it, but we can't tell you until maybe after the election how we're going to do it, you wouldn't take such a sketchy deal and neither should you, the American people, because the math doesn't add up."
4,"And and what's at stake here is one of two things, either Candy this blows up the deficit because keep in mind, this is just to pay for the additional spending that he's talking about, dollar seven trillion dollar eight trillion before we even get to the deficit we already have."
4,"Or, alternatively, it's got to be paid for, not only by closing deductions for wealthy individuals, that that will pay for about four percent reduction in tax rates."
0,You're going to be paying for it.
33,"You're going to lose some deductions, and you can't buy the sales pitch."
4,"Nobody who's looked at it that's serious, actually believes it adds up."
0,Great.
0,Looking forward to it.
26,"And it's Katherine Fenton, who has a question for you."
0,"Well, Katherine, that's a great question."
13,"And, you know, I was raised by a single mom who had to put herself through school while looking after two kids."
20,And she worked hard every day and made a lot of sacrifices to make sure we got everything we needed.
25,"My grandmother, she started off as a secretary in a bank."
13,"She never got a college education, even though she was smart as a whip."
20,"And she worked her way up to become a vice president of a local bank, but she hit the glass ceiling."
20,She trained people who would end up becoming her bosses during the course of her career.
0,She didn't complain.
9,That's not what you did in that generation.
10,And this is one of the reasons why one of the first the first bill I signed was something called the Lily Ledbetter bill.
20,"And it's named after this amazing woman who had been doing the same job as a man for years, found out that she was getting paid less, and the Supreme Court said that she couldn't bring suit because she should have found about it earlier, whereas she had no way of finding out about it."
0,So we fixed that.
20,"And that's an example of the kind of advocacy that we need, because women are increasingly the breadwinners in the family."
20,"This is not just a women's issue, this is a family issue, this is a middle class issue, and that's why we've got to fight for it."
13,It also means that we've got to make sure that young people like yourself are able to afford a college education.
13,"Earlier, Governor Romney talked about he wants to make Pell Grants and other education accessible for young people."
29,"Well, the truth of the matter is, is that that's exactly what we've done."
13,"We've expanded Pell Grants for millions of people, including millions of young women, all across the country."
13,"We did it by taking dollar sixty billion that was going to banks and lenders as middlemen for the student loan program, and we said, let's just cut out the middleman."
13,Let's give the money directly to students.
13,"And as a consequence, we've seen millions of young people be able to afford college, and that's going to make sure that young women are going to be able to compete in that marketplace."
9,"But we've got to enforce the laws, which is what we are doing, and we've also got to make sure that in every walk of life we do not tolerate discrimination."
9,That's been one of the hallmarks of my administration.
9,I'm going to continue to push on this issue for the next four years.
14,"Katherine, I just want to point out that when Governor Romney's campaign was asked about the Lilly Ledbetter bill, whether he supported it?"
14,"He said, I'll get back to you."
20,And that's not the kind of advocacy that women need in any economy.
20,"Now, there are some other issues that have a bearing on how women succeed in the workplace."
1,"For example, their healthcare."
14,You know a major difference in this campaign is that Governor Romney feels comfortable having politicians in Washington decide the health care choices that women are making.
0,I think that's a mistake.
1,"In my health care bill, I said insurance companies need to provide contraceptive coverage to everybody who is insured."
20,"Because this is not just a a health issue, it's an economic issue for women."
0,It makes a difference.
34,This is money out of that family's pocket.
1,"Governor Romney not only opposed it, he suggested that in fact employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage."
20,That's not the kind of advocacy that women need.
14,"When Governor Romney says that we should eliminate funding for Planned Parenthood, there are millions of women all across the country, who rely on Planned Parenthood for, not just contraceptive care, they rely on it for mammograms, for cervical cancer screenings."
20,That's a pocketbook issue for women and families all across the country.
20,And it makes a difference in terms of how well and effectively women are able to work.
4,"When we talk about child care, and the credits that we're providing."
20,That makes a difference in whether they can go out there and and earn a living for their family.
20,These are not just women's issues.
0,These are family issues.
2,These are economic issues.
20,And one of the things that makes us grow as an economy is when everybody participates and women are getting the same fair deal as men are.
13,And I've got two daughters and I want to make sure that they have the same opportunities that anybody's sons have.
9,That's part of what I'm fighting for as president of the United States.
0,"I don't think so, Candy."
27,I want to make sure our timekeepers are working here.
0,Governor|
8,"Well, first of all, I think it's important to tell you that we did come in during some tough times."
2,We were losing eight hundred thousand jobs a month when I started.
4,But we had been digging our way out of policies that were misplaced and focused on the top doing very well and middle class folks not doing well.
2,"Now, we've seen thirty consecutive thirty one consecutive months of job growth; five."
2,two million new jobs created.
4,And the plans that I talked about will create even more.
4,"But when Governor Romney says that he has a very different economic plan, the centerpiece of his economic plan are tax cuts."
4,That's what took us from surplus to deficit.
14,"When he talks about getting tough on China, keep in mind that Governor Romney invested in companies that were pioneers of outsourcing to China, and is currently investing in countries in companies that are building surveillance equipment for China to spy on its own folks."
14,"That's Governor, you're the last person who's going to get tough on China."
2,"And what we've done when it comes to trade is not only sign three trade deals to open up new markets, but we've also set up a task force for trade that goes after anybody who is taking advantage of American workers or businesses and not creating a level playing field."
9,We've brought twice as many cases against unfair trading practices than the previous administration and we've won every single one that's been decided.
2,"When I said that we had to make sure that China was not flooding our domestic market with cheap tires, Governor Romney said I was being protectionist; that it wouldn't be helpful to American workers."
2,"Well, in fact we saved one thousand jobs."
25,And that's the kind of tough trade actions that are required.
16,But the last point I want to make is this.
14,"You know, there are some things where Governor Romney is different from George Bush."
34,George Bush didn't propose turning Medicare into a voucher.
17,George Bush embraced comprehensive immigration reform.
17,He didn't call for self deportation.
4,"George Bush never suggested that we eliminate funding for Planned Parenthood, so there are differences between Governor Romney and George Bush, but they're not on economic policy."
9,"In some ways, he's gone to a more extreme place when it comes to social policy."
0,And I think that's a mistake.
2,That's not how we're going to move our economy forward.
9,"Well, we've gone through a tough four years."
0,There's no doubt about it.
4,"But four years ago, I told the American people and I told you I would cut taxes for middle class families."
0,And I did.
25,"I told you I'd cut taxes for small businesses, and I have."
8,"I said that I'd end the war in Iraq, and I did."
29,"I said we'd refocus attention on those who actually attacked us on nine/eleven, and we have gone after Al Qaeda's leadership like never before and Osama bin Laden is dead."
