"","person","tot","time","role","dialogue"
"52","LEHRER","18.1","time 1","moderator","All right."
"53","ROMNEY","19.1","time 1","candidate","If that's the case, then it will always be the best product that people can purchase."
"54","LEHRER","20.1","time 1","moderator","Wait a minute, Governor."
"55","ROMNEY","21.1","time 1","candidate","But my experience my experience the private sector typically is able to provide a better product at a lower cost."
"56","LEHRER","22.1","time 1","moderator","All right."
"57","LEHRER","22.2","time 1","moderator","Can we can the two of you agree that the voters have a choice a clear choice between the two|"
"58","ROMNEY","23.1","time 1","candidate","Absolutely."
"59","LEHRER","24.1","time 1","moderator","of you on Medicare?"
"60","ROMNEY","25.1","time 1","candidate","Absolutely."
"61","OBAMA","26.1","time 1","candidate","Absolutely."
"62","LEHRER","27.1","time 1","moderator","All right."
"63","LEHRER","27.2","time 1","moderator","So to finish quickly, briefly, on the economy, what is your view about the level of federal regulation of the economy right now?"
"64","LEHRER","27.3","time 1","moderator","Is there too much?"
"65","LEHRER","27.4","time 1","moderator","And in your case, Mister President, is there should there be more?"
"66","LEHRER","27.5","time 1","moderator","Beginning with you."
"67","LEHRER","27.6","time 1","moderator","This is not a new two minute segment to start."
"68","LEHRER","27.7","time 1","moderator","And we'll go for a few minutes, and then we're going to go to health care, OK?"
"69","ROMNEY","28.1","time 1","candidate","Regulation is essential."
"70","ROMNEY","28.2","time 1","candidate","You can't have a free market work if you don't have regulation."
"71","ROMNEY","28.3","time 1","candidate","As a businessperson, I had to have I need to know the regulations."
"72","ROMNEY","28.4","time 1","candidate","I needed them there."
"73","ROMNEY","28.5","time 1","candidate","You couldn't have people opening up banks in their in their garage and making loans."
"74","ROMNEY","28.6","time 1","candidate","I mean, you have to have regulations so that you can have an economy work."
"75","ROMNEY","28.7","time 1","candidate","Every free economy has good regulation."
"76","ROMNEY","28.8","time 1","candidate","At the same time, regulation can become excessive."
"77","LEHRER","29.1","time 1","moderator","Is it excessive now, do you think?"
"78","ROMNEY","30.1","time 1","candidate","In some places, yes."
"79","ROMNEY","30.2","time 1","candidate","Other places, no."
"80","LEHRER","31.1","time 1","moderator","Like where?"
"81","ROMNEY","32.1","time 1","candidate","No, it can become out of date."
"82","ROMNEY","32.2","time 1","candidate","And what's happened with some of the legislation that's been passed during the president's term, you've seen regulation become excessive, and it's hurt it's hurt the economy."
"83","ROMNEY","32.3","time 1","candidate","Let me give you an example."
"84","ROMNEY","32.4","time 1","candidate","Dodd Frank was passed."
"85","ROMNEY","32.5","time 1","candidate","And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy."
"86","ROMNEY","32.6","time 1","candidate","One is it designates a number of banks as too big to fail, and they're effectively guaranteed by the federal government."
"87","ROMNEY","32.7","time 1","candidate","This is the biggest kiss that's been given to to New York banks I've ever seen."
"88","ROMNEY","32.8","time 1","candidate","This is an enormous boon for them."
"89","ROMNEY","32.9","time 1","candidate","There've been one hundred twenty two community and small banks have closed since Dodd Frank."
"90","ROMNEY","32.10","time 1","candidate","So there's one example."
"91","ROMNEY","32.11","time 1","candidate","Here's another."
"92","ROMNEY","32.12","time 1","candidate","In Dodd Frank|"
"93","LEHRER","33.1","time 1","moderator","Do you want to repeal Dodd Frank?"
"94","ROMNEY","34.1","time 1","candidate","Well, I would repeal and replace it."
"95","ROMNEY","34.2","time 1","candidate","We're not going to get rid of all regulation."
"96","ROMNEY","34.3","time 1","candidate","You have to have regulation."
"97","ROMNEY","34.4","time 1","candidate","And there are some parts of Dodd Frank that make all the sense in the world."
"98","ROMNEY","34.5","time 1","candidate","You need transparency, you need to have leverage limits for|"
"99","LEHRER","35.1","time 1","moderator","Well, here's a specific|"
"100","ROMNEY","36.1","time 1","candidate","But let's let's mention let me mention the other one."
"101","ROMNEY","36.2","time 1","candidate","Let's talk|"
"102","LEHRER","37.1","time 1","moderator","No, let's not."
"103","LEHRER","37.2","time 1","moderator","Let's let him respond let's let him respond to this specific on Dodd Frank and what the governor just said."
"104","OBAMA","38.1","time 1","candidate","I think this is a great example."
"105","OBAMA","38.2","time 1","candidate","The reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board."
"106","OBAMA","38.3","time 1","candidate","Now, it wasn't just on Wall Street."
"107","OBAMA","38.4","time 1","candidate","You had loan officers were that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify."
"108","OBAMA","38.5","time 1","candidate","You had people who were borrowing money to buy a house that they couldn't afford."
"109","OBAMA","38.6","time 1","candidate","You had credit agencies that were stamping these as Aone great investments when they weren't."
"110","OBAMA","38.7","time 1","candidate","But you also had banks making money hand over fist, churning out products that the bankers themselves didn't even understand, in order to make big profits, but knowing that it made the entire system vulnerable."
"111","OBAMA","38.8","time 1","candidate","So what did we do?"
"112","OBAMA","38.9","time 1","candidate","We stepped in and had the toughest reforms on Wall Street since the one thousand nine hundred thirtys."
"113","OBAMA","38.10","time 1","candidate","We said you've got banks, you've got to raise your capital requirements."
"114","OBAMA","38.11","time 1","candidate","You can't engage in some of this risky behavior that is putting Main Street at risk."
"115","OBAMA","38.12","time 1","candidate","We've going to make sure that you've got to have a living will so so we can know how you're going to wind things down if you make a bad bet so we don't have other taxpayer bailouts."
"116","OBAMA","38.13","time 1","candidate","In the meantime, by the way, we also made sure that all the help that we provided those banks was paid back every single dime, with interest."
"117","OBAMA","38.14","time 1","candidate","Now, Governor Romney has said he wants to repeal Dodd Frank."
"118","OBAMA","38.15","time 1","candidate","And, you know, I appreciate and it appears we've got some agreement that a marketplace to work has to have some regulation."
"119","OBAMA","38.16","time 1","candidate","But in the past, Governor Romney has said he just want to repeal Dodd Frank, roll it back."
"120","OBAMA","38.17","time 1","candidate","And so the question is: Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street?"
"121","OBAMA","38.18","time 1","candidate","Because if you do, then Governor Romney is your candidate."
"122","OBAMA","38.19","time 1","candidate","But that's not what I believe."
"123","ROMNEY","39.1","time 1","candidate","Sorry, but that's just not that's just not the facts."
"124","ROMNEY","39.2","time 1","candidate","Look, we have to have regulation on Wall Street."
"125","ROMNEY","39.3","time 1","candidate","That's why I'd have regulation."
"126","ROMNEY","39.4","time 1","candidate","But I wouldn't designate five banks as too big to fail and give them a blank check."
"127","ROMNEY","39.5","time 1","candidate","That's one of the unintended consequences of Dodd Frank."
"128","ROMNEY","39.6","time 1","candidate","It wasn't thought through properly."
"129","ROMNEY","39.7","time 1","candidate","We need to get rid of that provision because it's killing regional and small banks."
"130","ROMNEY","39.8","time 1","candidate","They're getting hurt."
"131","ROMNEY","39.9","time 1","candidate","Let me mention another regulation in Dodd Frank."
"132","ROMNEY","39.10","time 1","candidate","You say we were giving mortgages to people who weren't qualified."
"133","ROMNEY","39.11","time 1","candidate","That's exactly right."
"134","ROMNEY","39.12","time 1","candidate","It's one of the reasons for the great financial calamity we had."
"135","ROMNEY","39.13","time 1","candidate","And so Dodd Frank correctly says we need to have qualified mortgages, and if you give a mortgage that's not qualified, there are big penalties, except they didn't ever go on and define what a qualified mortgage was."
"136","ROMNEY","39.14","time 1","candidate","It's been two years."
"137","ROMNEY","39.15","time 1","candidate","We don't know what a qualified mortgage is yet."
"138","ROMNEY","39.16","time 1","candidate","So banks are reluctant to make loans, mortgages."
"139","ROMNEY","39.17","time 1","candidate","Try and get a mortgage these days."
"140","ROMNEY","39.18","time 1","candidate","It's hurt the housing market because Dodd Frank didn't anticipate putting in place the kinds of regulations you have to have."
"141","ROMNEY","39.19","time 1","candidate","It's not that Dodd Frank always was wrong with too much regulation."
"142","ROMNEY","39.20","time 1","candidate","Sometimes they didn't come out with a clear regulation."
"143","ROMNEY","39.21","time 1","candidate","I will make sure we don't hurt the functioning of our of our marketplace and our business, because I want to bring back housing and get good jobs."
"144","LEHRER","40.1","time 1","moderator","All right."
"145","LEHRER","40.2","time 1","moderator","I think we have another clear difference between the two of you."
"146","LEHRER","40.3","time 1","moderator","Now, let's move to health care where I know there is a clear difference, and that has to do with the Affordable Care Act, Obamacare."
"147","LEHRER","40.4","time 1","moderator","And it's a two minute new new segment, and that means two minutes each."
"148","LEHRER","40.5","time 1","moderator","And you go first, Governor Romney."
"149","LEHRER","40.6","time 1","moderator","You want it repealed."
"150","LEHRER","40.7","time 1","moderator","You want the Affordable Care Act repealed."
"151","LEHRER","40.8","time 1","moderator","Why?"
"152","ROMNEY","41.1","time 1","candidate","I sure do."
"153","ROMNEY","41.2","time 1","candidate","Well, in part, it comes, again, from my experience."
"154","ROMNEY","41.3","time 1","candidate","You know, I was in New Hampshire."
"155","ROMNEY","41.4","time 1","candidate","A woman came to me and she said, look, I can't afford insurance for myself or my son."
"156","ROMNEY","41.5","time 1","candidate","I met a couple in Appleton, Wisconsin, and they said, we're thinking of dropping our insurance, we can't afford it."
"157","ROMNEY","41.6","time 1","candidate","And the number of small businesses I've gone to that are saying they're dropping insurance because they can't afford it, the cost of health care is just prohibitive."
"158","ROMNEY","41.7","time 1","candidate","And and we've got to deal with cost."
"159","ROMNEY","41.8","time 1","candidate","And, unfortunately, when when when you look at Obamacare, the Congressional Budget Office has said it will cost dollar two thousand five hundred a year more than traditional insurance."
"160","ROMNEY","41.9","time 1","candidate","So it's adding to cost."
"161","ROMNEY","41.10","time 1","candidate","And as a matter of fact, when the president ran for office, he said that, by this year, he would have brought down the cost of insurance for each family by dollar two thousand five hundred a family."
"162","ROMNEY","41.11","time 1","candidate","Instead, it's gone up by that amount."
"163","ROMNEY","41.12","time 1","candidate","So it's expensive."
"164","ROMNEY","41.13","time 1","candidate","Expensive things hurt families."
"165","ROMNEY","41.14","time 1","candidate","So that's one reason I don't want it."
"166","ROMNEY","41.15","time 1","candidate","Second reason, it cuts dollar seven hundred sixteen billion from Medicare to pay for it."
"167","ROMNEY","41.16","time 1","candidate","I want to put that money back in Medicare for our seniors."
"168","ROMNEY","41.17","time 1","candidate","Number three, it puts in place an unelected board that's going to tell people ultimately what kind of treatments they can have."
"169","ROMNEY","41.18","time 1","candidate","I don't like that idea."
"170","ROMNEY","41.19","time 1","candidate","Fourth, there was a survey done of small businesses across the country, said, what's been the effect of Obamacare on your hiring plans?"
"171","ROMNEY","41.20","time 1","candidate","And three quarters of them said it makes us less likely to hire people."
"172","ROMNEY","41.21","time 1","candidate","I just don't know how the president could have come into office, facing twenty three million people out of work, rising unemployment, an economic crisis at the at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people."
"173","ROMNEY","41.22","time 1","candidate","It has killed jobs."
"174","ROMNEY","41.23","time 1","candidate","And the best course for health care is to do what we did in my state: craft a plan at the state level that fits the needs of the state."
"175","ROMNEY","41.24","time 1","candidate","And then let's focus on getting the costs down for people, rather than raising it with the dollar two thousand five hundred additional premium."
"176","LEHRER","42.1","time 1","moderator","Mister President, the argument against repeal?"
"177","OBAMA","43.1","time 1","candidate","Well, four years ago, when I was running for office, I was traveling around and having those same conversations that Governor Romney talks about."
"178","OBAMA","43.2","time 1","candidate","And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees."
"179","OBAMA","43.3","time 1","candidate","It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country."
"180","OBAMA","43.4","time 1","candidate","If they had a pre existing condition, they might not be able to get coverage at all."
"181","OBAMA","43.5","time 1","candidate","If they did have coverage, insurance companies might impose an arbitrary limit."
"182","OBAMA","43.6","time 1","candidate","And so as a consequence, they're paying their premiums, somebody gets really sick, lo and behold, they don't have enough money to pay the bills, because the insurance companies say that they've hit the limit."
"183","OBAMA","43.7","time 1","candidate","So we did work on this, alongside working on jobs, because this is part of making sure that middle class families are secure in this country."
"184","OBAMA","43.8","time 1","candidate","And let me tell you exactly what Obamacare did."
"185","OBAMA","43.9","time 1","candidate","Number one, if you've got health insurance, it doesn't mean a government takeover."
"186","OBAMA","43.10","time 1","candidate","You keep your own insurance."
"187","OBAMA","43.11","time 1","candidate","You keep your own doctor."
"188","OBAMA","43.12","time 1","candidate","But it does say insurance companies can't jerk you around."
"189","OBAMA","43.13","time 1","candidate","They can't impose arbitrary lifetime limits."
"190","OBAMA","43.14","time 1","candidate","They have to let you keep your kid on their insurance your insurance plan until you're twenty six years old."
"191","OBAMA","43.15","time 1","candidate","And it also says that you're going to have to get rebates if insurance companies are spending more on administrative costs and profits than they are on actual care."
"192","OBAMA","43.16","time 1","candidate","Number two, if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically eighteen percent lower than if you're out there trying to get insurance on the individual market."
"193","OBAMA","43.17","time 1","candidate","Now, the last point I'd make before|"
"194","LEHRER","44.1","time 1","moderator","Two minutes two minutes is up, sir."
"195","OBAMA","45.1","time 1","candidate","No, I think I had five seconds before you interrupted me, was the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there."
"196","OBAMA","45.2","time 1","candidate","It hasn't destroyed jobs."
"197","OBAMA","45.3","time 1","candidate","And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold."
"198","LEHRER","46.1","time 1","moderator","Your five seconds went away a long time ago."
"199","LEHRER","46.2","time 1","moderator","All right, Governor."
"200","LEHRER","46.3","time 1","moderator","Governor, tell tell the president directly why you think what he just said is wrong about Obamacare?"
"201","ROMNEY","47.1","time 1","candidate","Well, I did with my first statement."
"202","ROMNEY","47.2","time 1","candidate","First of all, I like the way we did it in Massachusetts."
"203","ROMNEY","47.3","time 1","candidate","I like the fact that in my state, we had Republicans and Democrats come together and work together."
"204","ROMNEY","47.4","time 1","candidate","What you did instead was to push through a plan without a single Republican vote."
"205","ROMNEY","47.5","time 1","candidate","As a matter of fact, when Massachusetts did something quite extraordinary elected a Republican senator to stop Obamacare, you pushed it through anyway."
"206","ROMNEY","47.6","time 1","candidate","So entirely on a partisan basis, instead of bringing America together and having a discussion on this important topic, you pushed through something that you and Nancy Pelosi and Harry Reid thought was the best answer and drove it through."
"207","ROMNEY","47.7","time 1","candidate","What we did in a legislature eighty seven percent Democrat, we worked together; two hundred legislators in my legislature, only two voted against the plan by the time we were finished."
"208","ROMNEY","47.8","time 1","candidate","What were some differences?"
"209","ROMNEY","47.9","time 1","candidate","We didn't raise taxes."
"210","ROMNEY","47.10","time 1","candidate","You've raised them by dollar one trillion under Obamacare."
"211","ROMNEY","47.11","time 1","candidate","We didn't cut Medicare."
"212","ROMNEY","47.12","time 1","candidate","Of course, we don't have Medicare, but we didn't cut Medicare by dollar seven hundred sixteen billion."
"213","ROMNEY","47.13","time 1","candidate","We didn't put in place a board that can tell people ultimately what treatments they're going to receive."
"214","ROMNEY","47.14","time 1","candidate","We didn't also do something that I think a number of people across this country recognize, which is put put people in a position where they're going to lose the insurance they had and they wanted."
"215","ROMNEY","47.15","time 1","candidate","Right now, the CBO says up to twenty million people will lose their insurance as Obamacare goes into effect next year."
"216","ROMNEY","47.16","time 1","candidate","And likewise, a study by McKinsey and Company of American businesses said thirty percent of them are anticipating dropping people from coverage."
"217","ROMNEY","47.17","time 1","candidate","So for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance, this is why the American people don't want Medicare don't want Obamacare."
"218","ROMNEY","47.18","time 1","candidate","It's why Republicans said, do not do this, and the Republicans had had the plan."
"219","ROMNEY","47.19","time 1","candidate","They put a plan out."
"220","ROMNEY","47.20","time 1","candidate","They put out a plan, a bipartisan plan."
"221","ROMNEY","47.21","time 1","candidate","It was swept aside."
"222","ROMNEY","47.22","time 1","candidate","I think something this big, this important has to be done on a bipartisan basis."
"223","ROMNEY","47.23","time 1","candidate","And we have to have a president who can reach across the aisle and fashion important legislation with the input from both parties."
"224","OBAMA","48.1","time 1","candidate","Governor Romney said this has to be done on a bipartisan basis."
"225","OBAMA","48.2","time 1","candidate","This was a bipartisan idea."
"226","OBAMA","48.3","time 1","candidate","In fact, it was a Republican idea."
"227","OBAMA","48.4","time 1","candidate","And Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation."
"228","OBAMA","48.5","time 1","candidate","And I agree that the Democratic legislators in Massachusetts might have given some advice to Republicans in Congress about how to cooperate, but the fact of the matter is, we used the same advisers, and they say it's the same plan."
"229","OBAMA","48.6","time 1","candidate","It when Governor Romney talks about this board, for example, unelected board that we've created, what this is, is a group of health care experts, doctors, et cetera, to figure out, how can we reduce the cost of care in the system overall?"
"230","OBAMA","48.7","time 1","candidate","Because there there are two ways of dealing with our health care crisis."
"231","OBAMA","48.8","time 1","candidate","One is to simply leave a whole bunch of people uninsured and let them fend for themselves, to let businesses figure out how long they can continue to pay premiums until finally they just give up, and their workers are no longer getting insured, and that's been the trend line."
"232","OBAMA","48.9","time 1","candidate","Or, alternatively, we can figure out, how do we make the cost of care more effective?"
"233","OBAMA","48.10","time 1","candidate","And there are ways of doing it."
"234","OBAMA","48.11","time 1","candidate","So at Cleveland Clinic, one of the best health care systems in the world, they actually provide great care cheaper than average."
"235","OBAMA","48.12","time 1","candidate","And the reason they do is because they do some smart things."
"236","OBAMA","48.13","time 1","candidate","They they say, if a patient's coming in, let's get all the doctors together at once, do one test instead of having the patient run around with ten tests."
"237","OBAMA","48.14","time 1","candidate","Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes."
"238","OBAMA","48.15","time 1","candidate","Let's let's pay providers on the basis of performance as opposed to on the basis of how many procedures they've they've engaged in."
"239","OBAMA","48.16","time 1","candidate","Now, so what this board does is basically identifies best practices and says, let's use the purchasing power of Medicare and Medicaid to help to institutionalize all these good things that we do."
"240","OBAMA","48.17","time 1","candidate","And the fact of the matter is that, when Obamacare is fully implemented, we're going to be in a position to show that costs are going down."
"241","OBAMA","48.18","time 1","candidate","And over the last two years, health care premiums have gone up it's true but they've gone up slower than any time in the last fifty years."
"242","OBAMA","48.19","time 1","candidate","So we're already beginning to see progress."
"243","OBAMA","48.20","time 1","candidate","In the meantime, folks out there with insurance, you're already getting a rebate."
"244","OBAMA","48.21","time 1","candidate","Let me make one last point."
"245","OBAMA","48.22","time 1","candidate","Governor Romney says, we should replace it, I'm just going to repeal it, but but we can replace it with something."
"246","OBAMA","48.23","time 1","candidate","But the problem is, he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states."
"247","OBAMA","48.24","time 1","candidate","But the fact of the matter is that some of the prescriptions that he's offered, like letting you buy insurance across state lines, there's no indication that that somehow is going to help somebody who's got a pre existing condition be able to finally buy insurance."
"248","OBAMA","48.25","time 1","candidate","In fact, it's estimated that by repealing Obamacare, you're looking at fifty million people losing health insurance|"
"249","LEHRER","49.1","time 1","moderator","Let's|"
"250","OBAMA","50.1","time 1","candidate","at a time when it's vitally important."
"251","LEHRER","51.1","time 1","moderator","Let's let the governor explain what you would do|"
"252","ROMNEY","52.1","time 1","candidate","Well|"
"253","LEHRER","53.1","time 1","moderator","if Obamacare is repealed."
"254","LEHRER","53.2","time 1","moderator","How would you replace it?"
"255","ROMNEY","54.1","time 1","candidate","Well, actually it's it's it's a lengthy description."
"256","ROMNEY","54.2","time 1","candidate","But, number one, preexisting conditions are covered under my plan."
"257","ROMNEY","54.3","time 1","candidate","Number two, young people are able to stay on their family plan."
"258","ROMNEY","54.4","time 1","candidate","That's already offered in the private marketplace."
"259","ROMNEY","54.5","time 1","candidate","You don't have to have the government mandate that for that to occur."
"260","ROMNEY","54.6","time 1","candidate","But let's come back to something the president and I agree on, which is the key task we have in health care is to get the cost down so it's more affordable for families."
"261","ROMNEY","54.7","time 1","candidate","And then he has as a model for doing that a board of people at the government, an unelected board, appointed board, who are going to decide what kind of treatment you ought to have."
"262","ROMNEY","54.8","time 1","candidate","In my opinion, the government is not effective in in bringing down the cost of almost anything."
"263","ROMNEY","54.9","time 1","candidate","As a matter of fact, free people and free enterprises trying to find ways to do things better are able to be more effective in bringing down the cost than the government will ever be."
"264","ROMNEY","54.10","time 1","candidate","Your example of the Cleveland Clinic is my case in point, along with several others I could describe."
"265","ROMNEY","54.11","time 1","candidate","This is the private market."
"266","ROMNEY","54.12","time 1","candidate","These are small these are enterprises competing with each other, learning how to do better and better jobs."
"267","ROMNEY","54.13","time 1","candidate","I used to consult to businesses excuse me, to hospitals and to health care providers."
"268","ROMNEY","54.14","time 1","candidate","I was astonished at the creativity and innovation that exists in the American people."
"269","ROMNEY","54.15","time 1","candidate","In order to bring the cost of health care down, we don't need to have a board of fifteen people telling us what kinds of treatments we should have."
"270","ROMNEY","54.16","time 1","candidate","We instead need to put insurance plans, providers, hospitals, doctors on target such that they have an incentive, as you say, performance pay, for doing an excellent job, for keeping costs down, and that's happening."
"271","ROMNEY","54.17","time 1","candidate","Innermountain Healthcare does it superbly well, Mayo Clinic is doing it superbly well, Cleveland Clinic, others."
"272","ROMNEY","54.18","time 1","candidate","But the right answer is not to have the federal government take over health care and start mandating to the providers across America, telling a patient and a doctor what kind of treatment they can have."
"273","ROMNEY","54.19","time 1","candidate","That's the wrong way to go."
"274","ROMNEY","54.20","time 1","candidate","The private market and individual responsibility always work best."
"275","OBAMA","55.1","time 1","candidate","Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given."
"276","OBAMA","55.2","time 1","candidate","That's explicitly prohibited in the law."
"277","OBAMA","55.3","time 1","candidate","But let's go back to what Governor Romney indicated, that under his plan, he would be able to cover people with preexisting conditions."
"278","OBAMA","55.4","time 1","candidate","Well, actually Governor, that isn't what your plan does."
"279","OBAMA","55.5","time 1","candidate","What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've if it's been under ninety days."
"280","OBAMA","55.6","time 1","candidate","But that's already the law and that doesn't help the millions of people out there with preexisting conditions."
"281","OBAMA","55.7","time 1","candidate","There's a reason why Governor Romney set up the plan that he did in Massachusetts."
"282","OBAMA","55.8","time 1","candidate","It wasn't a government takeover of health care."
"283","OBAMA","55.9","time 1","candidate","It was the largest expansion of private insurance."
"284","OBAMA","55.10","time 1","candidate","But what it does say is that insurers, you've got to take everybody."
"285","OBAMA","55.11","time 1","candidate","Now, that also means that you've got more customers."
"286","OBAMA","55.12","time 1","candidate","But when when Governor Romney says that he'll replace it with something, but can't detail how it will be in fact replaced and the reason he set up the system he did in Massachusetts was because there isn't a better way of dealing with the preexisting conditions problem."
"287","OBAMA","55.13","time 1","candidate","It just reminds me of, you know, he says that he's going to close deductions and loopholes for his tax plan."
"288","OBAMA","55.14","time 1","candidate","That's how it's going to be paid for, but we don't know the details."
"289","OBAMA","55.15","time 1","candidate","He says that he's going to replace Dodd Frank, Wall Street reform, but we don't know exactly which ones."
"290","OBAMA","55.16","time 1","candidate","He won't tell us."
"291","OBAMA","55.17","time 1","candidate","He now says he's going to replace Obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry."
"292","OBAMA","55.18","time 1","candidate","And at some point, I think the American people have to ask themselves, is the reason that Governor Romney is keeping all these plans to replace secret because they're too good?"
"293","OBAMA","55.19","time 1","candidate","Is it is it because that somehow middle class families are going to benefit too much from them?"
"294","OBAMA","55.20","time 1","candidate","No."
"295","OBAMA","55.21","time 1","candidate","The reason is, is because, when we reform Wall Street, when we tackle the problem of pre existing conditions, then, you know, these are tough problems and we've got to make choices."
"296","OBAMA","55.22","time 1","candidate","And the choices we've made have been ones that ultimately are benefiting middle class families all across the country."
"297","LEHRER","56.1","time 1","moderator","We're going to move to|"
