topic_str,post
23,Dodd Frank was passed.
2,And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.
33,"One is it designates a number of banks as too big to fail, and they're effectively guaranteed by the federal government."
25,This is the biggest kiss that's been given to to New York banks I've ever seen.
18,This is an enormous boon for them.
25,There've been one hundred twenty two community and small banks have closed since Dodd Frank.
0,So there's one example.
0,Here's another.
23,In Dodd Frank|
1,"Well, I would repeal and replace it."
9,We're not going to get rid of all regulation.
9,You have to have regulation.
23,And there are some parts of Dodd Frank that make all the sense in the world.
31,"You need transparency, you need to have leverage limits for|"
6,But let's let's mention let me mention the other one.
0,Let's talk|
9,"Sorry, but that's just not that's just not the facts."
9,"Look, we have to have regulation on Wall Street."
9,That's why I'd have regulation.
25,But I wouldn't designate five banks as too big to fail and give them a blank check.
23,That's one of the unintended consequences of Dodd Frank.
0,It wasn't thought through properly.
25,We need to get rid of that provision because it's killing regional and small banks.
0,They're getting hurt.
9,Let me mention another regulation in Dodd Frank.
13,You say we were giving mortgages to people who weren't qualified.
0,That's exactly right.
2,It's one of the reasons for the great financial calamity we had.
16,"And so Dodd Frank correctly says we need to have qualified mortgages, and if you give a mortgage that's not qualified, there are big penalties, except they didn't ever go on and define what a qualified mortgage was."
0,It's been two years.
2,We don't know what a qualified mortgage is yet.
13,"So banks are reluctant to make loans, mortgages."
13,Try and get a mortgage these days.
9,It's hurt the housing market because Dodd Frank didn't anticipate putting in place the kinds of regulations you have to have.
9,It's not that Dodd Frank always was wrong with too much regulation.
9,Sometimes they didn't come out with a clear regulation.
2,"I will make sure we don't hurt the functioning of our of our marketplace and our business, because I want to bring back housing and get good jobs."
0,I sure do.
27,"Well, in part, it comes, again, from my experience."
11,"You know, I was in New Hampshire."
1,"A woman came to me and she said, look, I can't afford insurance for myself or my son."
1,"I met a couple in Appleton, Wisconsin, and they said, we're thinking of dropping our insurance, we can't afford it."
1,"And the number of small businesses I've gone to that are saying they're dropping insurance because they can't afford it, the cost of health care is just prohibitive."
20,And and we've got to deal with cost.
1,"And, unfortunately, when when when you look at Obamacare, the Congressional Budget Office has said it will cost dollar two thousand five hundred a year more than traditional insurance."
0,So it's adding to cost.
1,"And as a matter of fact, when the president ran for office, he said that, by this year, he would have brought down the cost of insurance for each family by dollar two thousand five hundred a family."
20,"Instead, it's gone up by that amount."
0,So it's expensive.
20,Expensive things hurt families.
9,So that's one reason I don't want it.
34,"Second reason, it cuts dollar seven hundred sixteen billion from Medicare to pay for it."
34,I want to put that money back in Medicare for our seniors.
1,"Number three, it puts in place an unelected board that's going to tell people ultimately what kind of treatments they can have."
0,I don't like that idea.
1,"Fourth, there was a survey done of small businesses across the country, said, what's been the effect of Obamacare on your hiring plans?"
2,And three quarters of them said it makes us less likely to hire people.
1,"I just don't know how the president could have come into office, facing twenty three million people out of work, rising unemployment, an economic crisis at the at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people."
2,It has killed jobs.
11,And the best course for health care is to do what we did in my state: craft a plan at the state level that fits the needs of the state.
1,"And then let's focus on getting the costs down for people, rather than raising it with the dollar two thousand five hundred additional premium."
14,"Well, I did with my first statement."
9,"First of all, I like the way we did it in Massachusetts."
30,"I like the fact that in my state, we had Republicans and Democrats come together and work together."
1,What you did instead was to push through a plan without a single Republican vote.
1,"As a matter of fact, when Massachusetts did something quite extraordinary elected a Republican senator to stop Obamacare, you pushed it through anyway."
16,"So entirely on a partisan basis, instead of bringing America together and having a discussion on this important topic, you pushed through something that you and Nancy Pelosi and Harry Reid thought was the best answer and drove it through."
16,"What we did in a legislature eighty seven percent Democrat, we worked together; two hundred legislators in my legislature, only two voted against the plan by the time we were finished."
0,What were some differences?
4,We didn't raise taxes.
1,You've raised them by dollar one trillion under Obamacare.
34,We didn't cut Medicare.
34,"Of course, we don't have Medicare, but we didn't cut Medicare by dollar seven hundred sixteen billion."
34,We didn't put in place a board that can tell people ultimately what treatments they're going to receive.
1,"We didn't also do something that I think a number of people across this country recognize, which is put put people in a position where they're going to lose the insurance they had and they wanted."
1,"Right now, the CBO says up to twenty million people will lose their insurance as Obamacare goes into effect next year."
1,"And likewise, a study by McKinsey and Company of American businesses said thirty percent of them are anticipating dropping people from coverage."
1,"So for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance, this is why the American people don't want Medicare don't want Obamacare."
9,"It's why Republicans said, do not do this, and the Republicans had had the plan."
0,They put a plan out.
16,"They put out a plan, a bipartisan plan."
0,It was swept aside.
16,"I think something this big, this important has to be done on a bipartisan basis."
9,And we have to have a president who can reach across the aisle and fashion important legislation with the input from both parties.
0,Well|
27,"Well, actually it's it's it's a lengthy description."
1,"But, number one, preexisting conditions are covered under my plan."
13,"Number two, young people are able to stay on their family plan."
9,That's already offered in the private marketplace.
9,You don't have to have the government mandate that for that to occur.
1,"But let's come back to something the president and I agree on, which is the key task we have in health care is to get the cost down so it's more affordable for families."
9,"And then he has as a model for doing that a board of people at the government, an unelected board, appointed board, who are going to decide what kind of treatment you ought to have."
4,"In my opinion, the government is not effective in in bringing down the cost of almost anything."
1,"As a matter of fact, free people and free enterprises trying to find ways to do things better are able to be more effective in bringing down the cost than the government will ever be."
1,"Your example of the Cleveland Clinic is my case in point, along with several others I could describe."
0,This is the private market.
25,"These are small these are enterprises competing with each other, learning how to do better and better jobs."
25,"I used to consult to businesses excuse me, to hospitals and to health care providers."
14,I was astonished at the creativity and innovation that exists in the American people.
1,"In order to bring the cost of health care down, we don't need to have a board of fifteen people telling us what kinds of treatments we should have."
1,"We instead need to put insurance plans, providers, hospitals, doctors on target such that they have an incentive, as you say, performance pay, for doing an excellent job, for keeping costs down, and that's happening."
1,"Innermountain Healthcare does it superbly well, Mayo Clinic is doing it superbly well, Cleveland Clinic, others."
1,"But the right answer is not to have the federal government take over health care and start mandating to the providers across America, telling a patient and a doctor what kind of treatment they can have."
0,That's the wrong way to go.
9,The private market and individual responsibility always work best.
0,No.
0,I I have to respond to that.
14,"Which is which is my experience as a governor is if I come in and and lay down a piece of legislation and say, It's my way or the highway, I don't get a lot done."
9,What I do is the same way that Tip O'Neill and Ronald Reagan worked together some years ago.
9,"When Ronald Reagan ran for office, he laid out the principles that he was going to foster."
4,He said he was going to lower tax rates.
14,He said he was going to broaden the base.
4,"You've said the same thing, you're going to simplify the tax code, broaden the base."
0,Those are my principles.
20,I want to bring down the tax burden on middle income families.
16,"And I'm going to work together with Congress to say, OK, what what are the various ways we could bring down deductions, for instance?"
9,"One way, for instance, would be to have a single number."
20,"Make up a number, dollar twenty five thousand, dollar fifty thousand."
33,Anybody can have deductions up to that amount.
20,And then that number disappears for high income people.
0,That's one way one could do it.
33,One could follow Bowles Simpson as a model and take deduction by deduction and make differences that way.
4,"There are alternatives to accomplish the objective I have, which is to bring down rates, broaden the base, simplify the code, and create incentives for growth."
1,"And with regards to health care, you had remarkable details with regards to my pre existing condition plan."
27,You obviously studied up on on my plan.
1,"In fact, I do have a plan that deals with people with pre existing conditions."
1,That's part of my health care plan.
9,And what we did in Massachusetts is a model for the nation state by state.
0,And I said that at that time.
1,"The federal government taking over health care for the entire nation and whisking aside the tenth Amendment, which gives states the rights for these kinds of things, is not the course for America to have a stronger, more vibrant economy."
13,"Well, first, I love great schools."
13,"Massachusetts, our schools are ranked number one of all fifty states."
13,"And the key to great schools, great teachers."
13,So I reject the idea that I don't believe in great teachers or more teachers.
13,"Every school district, every state should make that decision on their own."
30,The role of government: Look behind us.
32,The Constitution and the Declaration of Independence.
30,The role of government is to promote and protect the principles of those documents.
28,"First, life and liberty."
5,"We have a responsibility to protect the lives and liberties of our people, and that means a military second to none."
4,I do not believe in cutting our military.
5,I believe in maintaining the strength of America's military.
30,"Second, in that line that says we are endowed by our creator with our rights, I believe we must maintain our commitment to religious tolerance and freedom in this country."
9,That statement also says that we are endowed by our creator with the right to pursue happiness as we choose.
34,"I interpret that as, one, making sure that those people who are less fortunate and can't care for themselves are cared by by one another."
34,"We're a nation that believes that we're all children of the same god and we care for those that have difficulties, those that are elderly and have problems and challenges, those that are disabled."
0,We care for them.
12,"And we we look for discovery and innovation, all these things desired out of the American heart to provide the pursuit of happiness for our citizens."
30,But we also believe in maintaining for individuals the right to pursue their dreams and not to have the government substitute itself for the rights of free individuals.
2,"And what we're seeing right now is, in my view, a a trickle down government approach, which has government thinking it can do a better job than free people pursuing their drea Miss And it's not working."
2,And the proof of that is twenty three million people out of work.
20,The proof of that is one out of six people in poverty.
2,The proof of that is we've gone from thirty two million on food stamps to forty seven million on food stamps.
2,The proof of that is that fifty percent of college graduates this year can't find work.
9,We know that the path we're taking is not working.
0,It's time for a new path.
13,"Well, the primary responsibility for education is is, of course, at the state and local level."
30,But the federal government also can play a very important role.
14,"And I and I agree with Secretary Arne Duncan, he's some ideas he's put forward on Race to the Top, not all of them, but some of them I agree with and and congratulate him for pursuing that."
13,The federal government can get local and and state schools to do a better job.
27,"My own view, by the way, is I've added to that."
13,"I happen to believe, I want the kids that are getting federal dollars from IDEA or Title I these are disabled kids or or or poor kids or or lower income kids, rather, I want them to be able to go to the school of their choice."
13,"So all federal funds, instead of going to the to the state or to the school district, I'd have go, if you will, follow the child and let the parent and the child decide where to send their their their student."
9,"Mister President, Mister President, you're entitled as the president to your own airplane and to your own house, but not to your own facts."
13,"All right, I'm not going to cut education funding."
13,I don't have any plan to cut education funding and and grants that go to people going to college.
0,I'm planning on to grow.
9,So I'm not planning on making changes there.
4,"But you make a very good point, which is that the place you put your money just makes a pretty clear indication of where your heart is."
2,You put dollar ninety billion into into green jobs.
12,"And I look, I'm all in favor of green energy."
13,"dollar ninety billion, that would have that would have hired two million teachers."
0,dollar ninety billion.
25,"And these businesses, many of them have gone out of business, I think about half of them, of the ones have been invested in have gone out of business."
30,A number of them happened to be owned by people who were contributors to your campaigns.
1,"Look, the right course for America's government, we were talking about the role of government, is not to become the economic player, picking winners and losers, telling people what kind of health treatment they can receive, taking over the health care system that has existed in this country for a long, long time and has produced the best health records in the world."
4,"The right answer for government is say, How do we make the private sector become more efficient and more effective?"
13,How do we get schools to be more competitive?
0,Let's grade them.
13,"I propose we grade our schools so parents know which schools are succeeding and failing, so they can take their child to a to a school that he's being more successful."
13,I don't want to cut our commitment to education.
25,I wanted to make it more effective and efficient.
7,"And by the way, I've had that experience."
0,I don't just talk about it.
0,I've been there.
13,Massachusetts schools are ranked number one in the nation.
13,This is not because I didn't have commitment to education.
13,It's because I care about education for all of our kids.
7,"Jim, I had the great experience it didn't seem like it at the time of being elected in a state where my legislature was eighty seven percent Democrat."
16,And that meant I figured out from day one I had to get along and I had to work across the aisle to get anything done.
13,We drove our schools to be number one in the nation.
4,We cut taxes nineteen times.
14,"We as president, I will sit on day one actually, the day after I get elected I'll sit down with leaders the Democratic leaders, as well as Republican leaders, and continue as we did in my state we met every Monday for a couple hours, talked about the issues and the challenges in the in the in our state in that case."
8,"We have to work on a collaborative basis, not because we're going to compromise our principle, but because there's common ground."
2,"And the challenges America faces right now look, the reason I'm in this race is there are people that are really hurting today in this country."
4,And we face this deficit could crush the future generations.
15,"What's happening in the Middle East, there are developments around the world that are of real concern."
30,And Republicans and Democrats both love America.
16,But we need to have leadership leadership in Washington that will actually bring people together and get the job done and could not care less if if it's a Republican or a Democrat.
0,I've done it before.
0,I'll do it again.
28,"Thank you, Jim, and Mister President."
18,And thank you for tuning in this evening.
30,This is a this is an important election and I'm concerned about America.
9,I'm concerned about the direction America has been taking over the last four years.
30,I I know this is bigger than an election about the two of us as individuals.
30,It's bigger than our respective parties.
30,It's an election about the course of America.
13,What kind of America do you want to have for yourself and for your children.
14,"And there really are two very different paths that we began speaking about this evening, and over the course of this month we're going to have two more presidential debates and a vice presidential debate."
8,We're talk about those two paths.
9,But they lead in very different directions.
9,And it's not just looking to our words that you have to take in evidence of where they go.
0,You can look at the record.
4,There's no question in my mind that if the president were to be reelected you'll continue to see a middle class squeeze with incomes going down and prices going up.
20,I'll get incomes up again.
2,You'll see chronic unemployment.
2,We've had forty three straight months with unemployment above eight percent.
2,If I'm president I will create help create twelve million new jobs in this country with rising incomes.
1,"If the president's reelected, Obamacare will be fully installed."
1,In my view that's going to mean a whole different way of life for people who counted on the insurance plan they had in the past.
0,Many will lose it.
1,You're going to see health premiums go up by some dollar two thousand five hundred per family.
30,If I'm elected we won't have Obama.
34,We'll put in place the kind of principles that I put in place in my own state and allow each state to craft their own programs to get people insured and we'll focus on getting the cost of health care down.
34,If the president were to be reelected you're going to see a dollar seven hundred sixteen billion cut to Medicare.
34,You'll have four million people who will lose Medicare Advantage.
34,You'll have hospital and providers that'll no longer accept Medicare patients.
34,I'll restore that dollar seven hundred sixteen billion to Medicare.
5,"And finally, military."
4,The president's reelected you'll see dramatic cuts to our military.
14,The secretary of defense has said these would be even devastating.
8,I will not cut our commitment to our military.
2,I will keep America strong and get America's middle class working again.
18,"Thank you, Jim."
18,"Thank you, Jeremy."
3,"I appreciate your your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time."
7,Thank you to Hofstra University and to Candy Crowley for organizing and leading this this event.
14,"Thank you, Mister President, also for being part of this this debate."
13,Your question your question is one that's being asked by college kids all over this country.
7,"I was in Pennsylvania with someone who had just graduated this was in Philadelphia and she said, I've got my degree."
2,I can't find a job.
2,I've got three part time jobs.
20,They're just barely enough to pay for my food and pay for an apartment.
13,I can't begin to pay back my student loans.
9,So what we have to do is two things.
13,We have to make sure that we make it easier for kids to afford college.
13,"And also make sure that when they get out of college, there's a job."
13,"When I was governor of Massachusetts, to get a high school degree, you had to pass an exam."
13,"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it's a public institution."
13,I want to make sure we keep our Pell grant program growing.
13,"We're also going to have our loan program, so that people are able to afford school."
13,But the key thing is to make sure you can get a job when you get out of school.
9,"And what's happened over the last four years has been very, very hard for America's young people."
2,I want you to be able to get a job.
2,I know what it takes to get this economy going.
2,"With half of college kids graduating this year without a college excuse me, without a job."
2,"And without a college level job, that's just unacceptable."
4,And likewise you've got more and more debt on your back.
2,So more debt and less jobs.
0,I'm going to change that.
2,I know what it takes to create good jobs again.
22,I know what it takes to make sure that you have the kind of opportunity you deserve.
2,"And kids across this country are going to recognize, we're bringing back an economy."
9,It's not going to be like the last four years.
2,"The middle class has been crushed over the last four years, and jobs have been too scarce."
13,"I know what it takes to bring them back, and I'm going to do that, and make sure that when you graduate when do you graduate?"
0,two thousand fourteen.
30,"When you come out in two thousand fourteen, I presume I'm going to be president."
2,I'm going to make sure you get a job.
0,Thanks Jeremy.
0,"Yeah, you bet."
2,Well what you're seeing in this country is twenty three million people struggling to find a job.
2,"And a lot of them, as you say, Candy, have been out of work for a long, long, long time."
2,The president's policies have been exercised over the last four years and they haven't put Americans back to work.
2,We have fewer people working today than we had when the president took office.
2,If the the unemployment rate was seven.
9,"eight percent when he took office, it's seven."
0,eight percent now.
2,"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be ten."
0,seven percent.
2,We have not made the progress we need to make to put people back to work.
2,That's why I put out a five point plan that gets America twelve million new jobs in four years and rising take home pay.
2,It's going to help Jeremy get a job when he comes out of school.
2,It's going to help people across the country that are unemployed right now.
14,"And one thing that the president said, which I want to make sure that we understand, he said that I said we should take Detroit bankrupt."
0,And that's right.
25,My plan was to have the company go through bankruptcy like seven Eleven did and Macy's and Condell Airlines and come out stronger.
14,"And I know he keeps saying, you want to take Detroit bankrupt."
9,"Well, the president took Detroit bankrupt."
25,You took General Motors bankrupt.
25,You took Chrysler bankrupt.
25,"So when you say that I wanted to take the auto industry bankrupt, you actually did."
2,"And I think it's important to know that that was a process that was necessary to get those companies back on their feet, so they could start hiring more people."
9,That was precisely what I recommended and ultimately what happened.
14,That that Detroit that Detroit answer|
0,that Detroit answer|
14,"and the rest of the answer, way off the mark."
9,"Well, let's look at the president's policies, all right, as opposed to the rhetoric, because we've had four years of policies being played out."
12,"And the president's right in terms of the additional oil production, but none of it came on federal land."
12,"As a matter of fact, oil production is down fourteen percent this year on federal land, and gas production was down nine percent."
0,Why?
12,"Because the president cut in half the number of licenses and permits for drilling on federal lands, and in federal waters."
20,So where'd the increase come from?
12,Well a lot of it came from the Bakken Range in North Dakota.
7,What was his participation there?
12,"The administration brought a criminal action against the people drilling up there for oil, this massive new resource we have."
0,And what was the cost?
10,twenty or twenty five birds were killed and brought out a migratory bird act to go after them on a criminal basis.
12,"Look, I want to make sure we use our oil, our coal, our gas, our nuclear, our renewables."
12,"I believe very much in our renewable capabilities; ethanol, wind, solar will be an important part of our energy mix."
12,"But what we don't need is to have the president keeping us from taking advantage of oil, coal and gas."
12,"This has not been Mister Oil, or Mister Gas, or Mister Coal."
25,Talk to the people that are working in those industries.
0,I was in coal country.
2,"People grabbed my arms and said, Please save my job."
12,"The head of the EPA said, You can't build a coal plant."
9,You'll virtually it's virtually impossible given our regulations.
12,"When the president ran for office, he said if you build a coal plant, you can go ahead, but you'll go bankrupt."
9,That's not the right course for America.
12,"Let's take advantage of the energy resources we have, as well as the energy ources for the future."
12,"And if we do that, if we do what I'm planning on doing, which is getting us energy independent, North America energy independence within eight years, you're going to see manufacturing jobs come back."
12,"Because our energy is low cost, that are already beginning to come back because of our abundant energy."
12,I'll get America and North America energy independent.
12,"I'll do it by more drilling, more permits and licenses."
12,We're going to bring that pipeline in from Canada.
12,How in the world the president said no to that pipeline?
0,I will never know.
2,"This is about bringing good jobs back for the middle class of America, and that's what I'm going to do."
9,But that's not what you've done in the last four years.
0,That's the problem.
12,"In the last four years, you cut permits and licenses on federal land and federal waters in half."
4,So how much did you cut?
4,"How much did you cut them by, then?"
0,"No, no."
12,How much did you cut licenses and permits on federal land and federal waters?
4,"No, no, I had a question and the question was how much did you cut them by?"
4,How much did you cut them by?
0,All right.
0,And it is.
0,"OK,|"
12,And production on private on government land.
0,is down.
12,Production on government land of oil is down fourteen percent.
12,And production on gas.
0,It's absolutely true.
12,"Look, there's no question but the people recognize that we have not produced more on federal lands and in federal waters."
2,"And coal, coal production is not up; coal jobs are not up."
2,"I was just at a coal facility, where some one thousand two hundred people lost their jobs."
9,The right course for America is to have a true all of the above policy.
12,I don't think anyone really believes that you're a person who's going to be pushing for oil and gas and coal.
6,You'll get your chance in a moment.
0,I'm still speaking.
29,And the answer is I don't believe people think that's the case|
0,That wasn't the question.
0,That was a statement.
9,I don't think the American people believe that.
12,"I will fight for oil, coal and natural gas."
20,"And the proof, the proof of whether a strategy is working or not is what the price is that you're paying at the pump."
4,"If you're paying less than you paid a year or two ago, why, then, the strategy is working."
20,But you're paying more.
12,"When the president took office, the price of gasoline here in Nassau County was about dollar one."
0,eighty six a gallon.
20,"Now, it's dollar four."
0,a gallon.
12,The price of electricity is up.
12,"If the president's energy policies are working, you're going to see the cost of energy come down."
12,"I will fight to create more energy in this country, to get America energy secure."
12,"And part of that is bringing in a pipeline of oil from Canada, taking advantage of the oil and coal we have here, drilling offshore in Alaska, drilling offshore in Virginia where the people want it."
12,Those things will get us the energy we need.
0,He gets the first.
0,He actually got|
0,He actually got the first question.
27,So I get the last question last answer|
0,"Candy, Candy|"
2,"Candy, I don't have a policy of stopping wind jobs in Iowa and that they're not phantom jobs."
2,They're real jobs.
11,I appreciate wind jobs in Iowa and across our country.
12,I appreciate the jobs in coal and oil and gas.
0,I'm going to make sure|
12,we're taking advantage of our energy resources.
2,We'll bring back manufacturing to America.
2,"We're going to get through a very aggressive energy policy, thirty one/two million more jobs in this country."
30,It's critical to our future.
0,"Hi, Mary."
18,Thank you very much.
4,"And let me tell you, you're absolutely right about part of that, which is I want to bring the rates down, I want to simplify the tax code, and I want to get middle income taxpayers to have lower taxes."
4,And the reason I want middle income taxpayers to have lower taxes is because middle income taxpayers have been buried over the past four years.
20,"You've seen, as middle income people in this country, incomes go down dollar four thousand three hundred a family, even as gasoline prices have gone up dollar two thousand."
1,"Health insurance premiums, up dollar two thousand five hundred."
20,Food prices up.
12,Utility prices up.
20,The middle income families in America have been crushed over the last four years.
20,So I want to get some relief to middle income families.
0,That's part that's part one.
33,"Now, how about deductions?"
20,"'Cause I'm going to bring rates down across the board for everybody, but I'm going to limit deductions and exemptions and credits, particularly for people at the high end, because I am not going to have people at the high end pay less than they're paying now."
34,The top five percent of taxpayers will continue to pay sixty percent of the income tax the nation collects.
0,So that'll stay the same.
20,Middle income people are going to get a tax break.
4,"And so, in terms of bringing down deductions, one way of doing that would be say everybody gets I'll pick a number dollar twenty five thousand of deductions and credits, and you can decide which ones to use."
33,"Your home mortgage interest deduction, charity, child tax credit, and so forth, you can use those as part of filling that bucket, if you will, of deductions."
20,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle income taxpayer no longer will pay any tax on interest, dividends or capital gains."
33,No tax on your savings.
0,That makes life a lot easier.
33,"If you're getting interest from a bank, if you're getting a statement from a mutual fund or any other kind of investment you have, you don't have to worry about filing taxes on that, because there'll be no taxes for anybody making dollar two hundred thousand."
27,"per year and less, on your interest, dividends and capital gains."
4,Why am I lowering taxes on the middle class?
29,"Because under the last four years, they've been buried."
20,And I want to help people in the middle class.
20,"And I will not I will not under any circumstances, reduce the share that's being paid by the highest income taxpayers."
20,"And I will not, under any circumstances increase taxes on the middle class."
4,"The president's spending, the president's borrowing will cost this nation to have to raise taxes on the American people."
26,Not just at the high end.
20,A recent study has shown the people in the middle class will see dollar four thousand.
4,per year in higher taxes as a result of the spending and borrowing of this administration.
0,I will not let that happen.
4,"I want to get us on track to a balanced budget, and I'm going to reduce the tax burden on middle income families."
9,And what's that going to do?
2,"It's going to help those families, and it's going to create incentives to start growing jobs again in this country."
0,You're absolutely right.
4,You heard what I said about my tax plan.
34,"The top five percent will continue to pay sixty percent, as they do today."
4,I'm not looking to cut taxes for wealthy people.
4,I am looking to cut taxes for middle income people.
20,"And why do I want to bring rates down, and at the same time lower exemptions and deductions, particularly for people at the high end?"
25,"Because if you bring rates down, it makes it easier for small business to keep more of their capital and hire people."
2,"And for me, this is about jobs."
2,I want to get America's economy going again.
2,Fifty four percent of America's workers work in businesses that are taxed as individuals.
25,"So when you bring those rates down, those small businesses are able to keep more money and hire more people."
14,"For me, I look at what's happened in the last four years and say this has been a disappointment."
0,We can do better than this.
2,"We don't have to settle for, how many months, forty three months with unemployment above eight percent, twenty three million Americans struggling to find a good job right now."
0,There are three.
20,five million more women living in poverty today than when the president took office.
0,We don't have to live like this.
2,We can get this economy going again.
27,My five point plan does it.
12,Energy independence for North America in five years.
25,"Opening up more trade, particularly in Latin America."
33,Cracking down on China when they cheat.
4,Getting us to a balanced budget.
13,Fixing our training programs for our workers.
25,"And finally, championing small business."
25,I want to make small businesses grow and thrive.
0,I know how to make that happen.
7,I spent my life in the private sector.
2,I know why jobs come and why they go.
9,And they're going now because of the policies of this administration.
0,I I|
0,Well of course they add up.
4,"I I was I was someone who ran businesses for twenty five years, and balanced the budget."
4,I ran the Olympics and balanced the budget.
4,"I ran the the state of Massachusetts as a governor, to the extent any governor does, and balanced the budget all four years."
4,"When we're talking about math that doesn't add up, how about dollar four trillion of deficits over the last four years, dollar five trillion?"
4,That's math that doesn't add up.
9,We have we have a president talking about someone's plan in a way that's completely foreign to what my real plan is.
4,"And then we have his own record, which is we have four consecutive years where he said when he was running for office, he would cut the deficit in half."
0,Instead he's doubled it.
4,"We've gone from dollar ten trillion of national debt, to dollar sixteen trillion of national debt."
4,"If the president were reelected, we'd go to almost dollar twenty trillion of national debt."
26,This puts us on a road to Greece.
4,I know what it takes to balance budgets.
0,I've done it my entire life.
4,"So for instance when he says, Yours is a dollar five trillion cut."
0,"Well, no it's not."
4,Because I'm offsetting some of the reductions with holding down some of the deductions.
0,And|
4,"And I just described I just described to you, Mister President I just described to you precisely how I'd do it which is with a single number that people can put and they can put they're they're deductions and credits|"
0,Thank you.
11,"And important topic, and one which I learned a great deal about, particularly as I was serving as governor of my state, because I had the chance to pull together a cabinet and all the applicants seemed to be men."
20,"And I and I went to my staff, and I said, How come all the people for these jobs are are all men."
2,"They said, Well, these are the people that have the qualifications."
20,"And I said, Well, gosh, can't we can't we find some some women that are also qualified?"
20,And and so we we took a concerted effort to go out and find women who had backgrounds that could be qualified to become members of our cabinet.
7,"I went to a number of women's groups and said, Can you help us find folks, and they brought us whole binders full of women."
11,"I was proud of the fact that after I staffed my Cabinet and my senior staff, that the University of New York in Albany did a survey of all fifty states, and concluded that mine had more women in senior leadership positions than any other state in America."
26,Now one of the reasons I was able to get so many good women to be part of that team was because of our recruiting effort.
20,"But number two, because I recognized that if you're going to have women in the workforce that sometimes you need to be more flexible."
13,"My chief of staff, for instance, had two kids that were still in school."
6,"She said, I can't be here until seven or eight o'clock at night."
13,I need to be able to get home at five o'clock so I can be there for making dinner for my kids and being with them when they get home from school.
0,So we said fine.
20,Let's have a flexible schedule so you can have hours that work for you.
2,"We're going to have to have employers in the new economy, in the economy I'm going to bring to play, that are going to be so anxious to get good workers they're going to be anxious to hire women."
2,In the in the last women have lost five hundred eighty thousand jobs.
9,That's the net of what's happened in the last four years.
2,We're still down five hundred eighty thousand jobs.
20,"I mentioned thirty one/two million women, more now in poverty than four years ago."
20,"What we can do to help young women and women of all ages is to have a strong economy, so strong that employers that are looking to find good employees and bringing them into their workforce and adapting to a flexible work schedule that gives women opportunities that they would otherwise not be able to afford."
0,This is what I have done.
2,"It's what I look forward to doing and I know what it takes to make an economy work, and I know what a working economy looks like."
2,And an economy with seven.
2,eight percent unemployment is not a real strong economy.
2,An economy that has twenty three million people looking for work is not a strong economy.
2,"An economy with fifty percent of kids graduating from college that can't finds a job, or a college level job, that's not what we have to have."
