topic_str,post,label,seen?,new_id,ori_topic,pred_label
president obama legislation,"At the same time, regulation can become excessive.",2,0,1116,president obama legislation,0
sen pass agree,"In some places, yes.",2,0,1117,sen pass agree,1
sen pass agree,"Other places, no.",2,0,1118,sen pass agree,1
sen pass agree,"No, it can become out of date.",2,0,1119,sen pass agree,2
president obama legislation,"And what's happened with some of the legislation that's been passed during the president's term, you've seen regulation become excessive, and it's hurt it's hurt the economy.",2,0,1120,president obama legislation,0
sen pass agree,Let me give you an example.,2,0,1121,sen pass agree,1
senator senate congressman,Dodd Frank was passed.,2,0,1122,senator senate congressman,1
jobs economy job,And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.,2,0,1123,jobs economy job,0
irs obamacare tax,"One is it designates a number of banks as too big to fail, and they're effectively guaranteed by the federal government.",2,0,1124,irs obamacare tax,0
businesses business economic,This is the biggest kiss that's been given to to New York banks I've ever seen.,2,0,1125,businesses business economic,1
congrats congratulations honored,This is an enormous boon for them.,2,0,1126,congrats congratulations honored,1
businesses business economic,There've been one hundred twenty two community and small banks have closed since Dodd Frank.,2,0,1127,businesses business economic,0
sen pass agree,So there's one example.,2,0,1128,sen pass agree,1
sen pass agree,Here's another.,2,0,1129,sen pass agree,1
senator senate congressman,In Dodd Frank|,2,0,1130,senator senate congressman,0
obamacare healthcare insurance,"Well, I would repeal and replace it.",2,0,1131,obamacare healthcare insurance,1
president obama legislation,We're not going to get rid of all regulation.,2,0,1132,president obama legislation,0
president obama legislation,You have to have regulation.,2,0,1133,president obama legislation,0
senator senate congressman,And there are some parts of Dodd Frank that make all the sense in the world.,2,0,1134,senator senate congressman,1
obamacare congressional congress,"You need transparency, you need to have leverage limits for|",2,0,1135,obamacare congressional congress,0
meeting discuss interview,But let's let's mention let me mention the other one.,2,0,1136,meeting discuss interview,1
sen pass agree,Let's talk|,2,0,1137,sen pass agree,1
president obama legislation,"Sorry, but that's just not that's just not the facts.",2,0,1138,president obama legislation,0
president obama legislation,"Look, we have to have regulation on Wall Street.",2,0,1139,president obama legislation,0
president obama legislation,That's why I'd have regulation.,2,0,1140,president obama legislation,0
businesses business economic,But I wouldn't designate five banks as too big to fail and give them a blank check.,2,0,1141,businesses business economic,0
senator senate congressman,That's one of the unintended consequences of Dodd Frank.,2,0,1142,senator senate congressman,0
sen pass agree,It wasn't thought through properly.,2,0,1143,sen pass agree,0
businesses business economic,We need to get rid of that provision because it's killing regional and small banks.,2,0,1144,businesses business economic,0
sen pass agree,They're getting hurt.,2,0,1145,sen pass agree,0
president obama legislation,Let me mention another regulation in Dodd Frank.,2,0,1146,president obama legislation,0
education students school,You say we were giving mortgages to people who weren't qualified.,2,0,1147,education students school,0
sen pass agree,That's exactly right.,2,0,1148,sen pass agree,1
jobs economy job,It's one of the reasons for the great financial calamity we had.,2,0,1149,jobs economy job,1
congress bipartisan congressional,"And so Dodd Frank correctly says we need to have qualified mortgages, and if you give a mortgage that's not qualified, there are big penalties, except they didn't ever go on and define what a qualified mortgage was.",2,0,1150,congress bipartisan congressional,0
sen pass agree,It's been two years.,2,0,1151,sen pass agree,2
jobs economy job,We don't know what a qualified mortgage is yet.,2,0,1152,jobs economy job,2
education students school,"So banks are reluctant to make loans, mortgages.",2,0,1153,education students school,2
education students school,Try and get a mortgage these days.,2,0,1154,education students school,1
president obama legislation,It's hurt the housing market because Dodd Frank didn't anticipate putting in place the kinds of regulations you have to have.,2,0,1155,president obama legislation,0
president obama legislation,It's not that Dodd Frank always was wrong with too much regulation.,2,0,1156,president obama legislation,1
president obama legislation,Sometimes they didn't come out with a clear regulation.,2,0,1157,president obama legislation,0
jobs economy job,"I will make sure we don't hurt the functioning of our of our marketplace and our business, because I want to bring back housing and get good jobs.",2,0,1158,jobs economy job,1
sen pass agree,I sure do.,2,0,1159,sen pass agree,1
news read listen,"Well, in part, it comes, again, from my experience.",2,0,1160,news read listen,1
washington honored county,"You know, I was in New Hampshire.",2,0,1161,washington honored county,1
obamacare healthcare insurance,"A woman came to me and she said, look, I can't afford insurance for myself or my son.",2,0,1162,obamacare healthcare insurance,1
obamacare healthcare insurance,"I met a couple in Appleton, Wisconsin, and they said, we're thinking of dropping our insurance, we can't afford it.",2,0,1163,obamacare healthcare insurance,1
obamacare healthcare insurance,"And the number of small businesses I've gone to that are saying they're dropping insurance because they can't afford it, the cost of health care is just prohibitive.",2,0,1164,obamacare healthcare insurance,1
workers obamacare jobs,And and we've got to deal with cost.,2,0,1165,workers obamacare jobs,2
obamacare healthcare insurance,"And, unfortunately, when when when you look at Obamacare, the Congressional Budget Office has said it will cost dollar two thousand five hundred a year more than traditional insurance.",2,0,1166,obamacare healthcare insurance,0
sen pass agree,So it's adding to cost.,2,0,1167,sen pass agree,2
obamacare healthcare insurance,"And as a matter of fact, when the president ran for office, he said that, by this year, he would have brought down the cost of insurance for each family by dollar two thousand five hundred a family.",2,0,1168,obamacare healthcare insurance,0
workers obamacare jobs,"Instead, it's gone up by that amount.",2,0,1169,workers obamacare jobs,2
sen pass agree,So it's expensive.,2,0,1170,sen pass agree,2
workers obamacare jobs,Expensive things hurt families.,2,0,1171,workers obamacare jobs,2
president obama legislation,So that's one reason I don't want it.,2,0,1172,president obama legislation,0
obamacare healthcare seniors,"Second reason, it cuts dollar seven hundred sixteen billion from Medicare to pay for it.",2,0,1173,obamacare healthcare seniors,1
obamacare healthcare seniors,I want to put that money back in Medicare for our seniors.,2,0,1174,obamacare healthcare seniors,1
obamacare healthcare insurance,"Number three, it puts in place an unelected board that's going to tell people ultimately what kind of treatments they can have.",2,0,1175,obamacare healthcare insurance,1
sen pass agree,I don't like that idea.,2,0,1176,sen pass agree,0
obamacare healthcare insurance,"Fourth, there was a survey done of small businesses across the country, said, what's been the effect of Obamacare on your hiring plans?",2,0,1177,obamacare healthcare insurance,1
jobs economy job,And three quarters of them said it makes us less likely to hire people.,2,0,1178,jobs economy job,0
obamacare healthcare insurance,"I just don't know how the president could have come into office, facing twenty three million people out of work, rising unemployment, an economic crisis at the at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people.",2,0,1179,obamacare healthcare insurance,2
jobs economy job,It has killed jobs.,2,0,1180,jobs economy job,0
washington honored county,And the best course for health care is to do what we did in my state: craft a plan at the state level that fits the needs of the state.,2,0,1181,washington honored county,1
obamacare healthcare insurance,"And then let's focus on getting the costs down for people, rather than raising it with the dollar two thousand five hundred additional premium.",2,0,1182,obamacare healthcare insurance,1
obama president congressman,"Well, I did with my first statement.",2,0,1183,obama president congressman,1
president obama legislation,"First of all, I like the way we did it in Massachusetts.",2,0,1184,president obama legislation,1
vote voted republicans,"I like the fact that in my state, we had Republicans and Democrats come together and work together.",2,0,1185,vote voted republicans,1
obamacare healthcare insurance,What you did instead was to push through a plan without a single Republican vote.,2,0,1186,obamacare healthcare insurance,1
obamacare healthcare insurance,"As a matter of fact, when Massachusetts did something quite extraordinary elected a Republican senator to stop Obamacare, you pushed it through anyway.",2,0,1187,obamacare healthcare insurance,1
congress bipartisan congressional,"So entirely on a partisan basis, instead of bringing America together and having a discussion on this important topic, you pushed through something that you and Nancy Pelosi and Harry Reid thought was the best answer and drove it through.",2,0,1188,congress bipartisan congressional,1
congress bipartisan congressional,"What we did in a legislature eighty seven percent Democrat, we worked together; two hundred legislators in my legislature, only two voted against the plan by the time we were finished.",2,0,1189,congress bipartisan congressional,1
sen pass agree,What were some differences?,2,0,1190,sen pass agree,1
spending bipartisan obamacare,We didn't raise taxes.,2,0,1191,spending bipartisan obamacare,0
obamacare healthcare insurance,You've raised them by dollar one trillion under Obamacare.,2,0,1192,obamacare healthcare insurance,0
obamacare healthcare seniors,We didn't cut Medicare.,2,0,1193,obamacare healthcare seniors,1
obamacare healthcare seniors,"Of course, we don't have Medicare, but we didn't cut Medicare by dollar seven hundred sixteen billion.",2,0,1194,obamacare healthcare seniors,1
obamacare healthcare seniors,We didn't put in place a board that can tell people ultimately what treatments they're going to receive.,2,0,1195,obamacare healthcare seniors,1
obamacare healthcare insurance,"We didn't also do something that I think a number of people across this country recognize, which is put put people in a position where they're going to lose the insurance they had and they wanted.",2,0,1196,obamacare healthcare insurance,1
obamacare healthcare insurance,"Right now, the CBO says up to twenty million people will lose their insurance as Obamacare goes into effect next year.",2,0,1197,obamacare healthcare insurance,0
obamacare healthcare insurance,"And likewise, a study by McKinsey and Company of American businesses said thirty percent of them are anticipating dropping people from coverage.",2,0,1198,obamacare healthcare insurance,1
obamacare healthcare insurance,"So for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance, this is why the American people don't want Medicare don't want Obamacare.",2,0,1199,obamacare healthcare insurance,1
president obama legislation,"It's why Republicans said, do not do this, and the Republicans had had the plan.",2,0,1200,president obama legislation,0
sen pass agree,They put a plan out.,2,0,1201,sen pass agree,1
congress bipartisan congressional,"They put out a plan, a bipartisan plan.",2,0,1202,congress bipartisan congressional,1
sen pass agree,It was swept aside.,2,0,1203,sen pass agree,1
congress bipartisan congressional,"I think something this big, this important has to be done on a bipartisan basis.",2,0,1204,congress bipartisan congressional,1
president obama legislation,And we have to have a president who can reach across the aisle and fashion important legislation with the input from both parties.,2,0,1205,president obama legislation,1
sen pass agree,Well|,2,0,1206,sen pass agree,1
news read listen,"Well, actually it's it's it's a lengthy description.",2,0,1207,news read listen,0
obamacare healthcare insurance,"But, number one, preexisting conditions are covered under my plan.",2,0,1208,obamacare healthcare insurance,1
education students school,"Number two, young people are able to stay on their family plan.",2,0,1209,education students school,1
president obama legislation,That's already offered in the private marketplace.,2,0,1210,president obama legislation,0
president obama legislation,You don't have to have the government mandate that for that to occur.,2,0,1211,president obama legislation,0
obamacare healthcare insurance,"But let's come back to something the president and I agree on, which is the key task we have in health care is to get the cost down so it's more affordable for families.",2,0,1212,obamacare healthcare insurance,1
president obama legislation,"And then he has as a model for doing that a board of people at the government, an unelected board, appointed board, who are going to decide what kind of treatment you ought to have.",2,0,1213,president obama legislation,0
spending bipartisan obamacare,"In my opinion, the government is not effective in in bringing down the cost of almost anything.",2,0,1214,spending bipartisan obamacare,0
obamacare healthcare insurance,"As a matter of fact, free people and free enterprises trying to find ways to do things better are able to be more effective in bringing down the cost than the government will ever be.",2,0,1215,obamacare healthcare insurance,1
obamacare healthcare insurance,"Your example of the Cleveland Clinic is my case in point, along with several others I could describe.",2,0,1216,obamacare healthcare insurance,1
sen pass agree,This is the private market.,2,0,1217,sen pass agree,1
businesses business economic,"These are small these are enterprises competing with each other, learning how to do better and better jobs.",2,0,1218,businesses business economic,1
businesses business economic,"I used to consult to businesses excuse me, to hospitals and to health care providers.",2,0,1219,businesses business economic,1
obama president congressman,I was astonished at the creativity and innovation that exists in the American people.,2,0,1220,obama president congressman,1
obamacare healthcare insurance,"In order to bring the cost of health care down, we don't need to have a board of fifteen people telling us what kinds of treatments we should have.",2,0,1221,obamacare healthcare insurance,1
obamacare healthcare insurance,"We instead need to put insurance plans, providers, hospitals, doctors on target such that they have an incentive, as you say, performance pay, for doing an excellent job, for keeping costs down, and that's happening.",2,0,1222,obamacare healthcare insurance,1
obamacare healthcare insurance,"Innermountain Healthcare does it superbly well, Mayo Clinic is doing it superbly well, Cleveland Clinic, others.",2,0,1223,obamacare healthcare insurance,1
obamacare healthcare insurance,"But the right answer is not to have the federal government take over health care and start mandating to the providers across America, telling a patient and a doctor what kind of treatment they can have.",2,0,1224,obamacare healthcare insurance,1
sen pass agree,That's the wrong way to go.,2,0,1225,sen pass agree,2
president obama legislation,The private market and individual responsibility always work best.,2,0,1226,president obama legislation,1
sen pass agree,No.,2,0,1227,sen pass agree,1
sen pass agree,I I have to respond to that.,2,0,1228,sen pass agree,1
obama president congressman,"Which is which is my experience as a governor is if I come in and and lay down a piece of legislation and say, It's my way or the highway, I don't get a lot done.",2,0,1229,obama president congressman,1
president obama legislation,What I do is the same way that Tip O'Neill and Ronald Reagan worked together some years ago.,2,0,1230,president obama legislation,1
president obama legislation,"When Ronald Reagan ran for office, he laid out the principles that he was going to foster.",2,0,1231,president obama legislation,1
spending bipartisan obamacare,He said he was going to lower tax rates.,2,0,1232,spending bipartisan obamacare,1
obama president congressman,He said he was going to broaden the base.,2,0,1233,obama president congressman,0
spending bipartisan obamacare,"You've said the same thing, you're going to simplify the tax code, broaden the base.",2,0,1234,spending bipartisan obamacare,0
sen pass agree,Those are my principles.,2,0,1235,sen pass agree,1
workers obamacare jobs,I want to bring down the tax burden on middle income families.,2,0,1236,workers obamacare jobs,2
congress bipartisan congressional,"And I'm going to work together with Congress to say, OK, what what are the various ways we could bring down deductions, for instance?",2,0,1237,congress bipartisan congressional,1
president obama legislation,"One way, for instance, would be to have a single number.",2,0,1238,president obama legislation,2
workers obamacare jobs,"Make up a number, dollar twenty five thousand, dollar fifty thousand.",2,0,1239,workers obamacare jobs,2
irs obamacare tax,Anybody can have deductions up to that amount.,2,0,1240,irs obamacare tax,0
workers obamacare jobs,And then that number disappears for high income people.,2,0,1241,workers obamacare jobs,2
sen pass agree,That's one way one could do it.,2,0,1242,sen pass agree,2
irs obamacare tax,One could follow Bowles Simpson as a model and take deduction by deduction and make differences that way.,2,0,1243,irs obamacare tax,2
spending bipartisan obamacare,"There are alternatives to accomplish the objective I have, which is to bring down rates, broaden the base, simplify the code, and create incentives for growth.",2,0,1244,spending bipartisan obamacare,1
obamacare healthcare insurance,"And with regards to health care, you had remarkable details with regards to my pre existing condition plan.",2,0,1245,obamacare healthcare insurance,1
news read listen,You obviously studied up on on my plan.,2,0,1246,news read listen,1
obamacare healthcare insurance,"In fact, I do have a plan that deals with people with pre existing conditions.",2,0,1247,obamacare healthcare insurance,1
obamacare healthcare insurance,That's part of my health care plan.,2,0,1248,obamacare healthcare insurance,1
president obama legislation,And what we did in Massachusetts is a model for the nation state by state.,2,0,1249,president obama legislation,1
sen pass agree,And I said that at that time.,2,0,1250,sen pass agree,1
obamacare healthcare insurance,"The federal government taking over health care for the entire nation and whisking aside the tenth Amendment, which gives states the rights for these kinds of things, is not the course for America to have a stronger, more vibrant economy.",2,0,1251,obamacare healthcare insurance,1
education students school,"Well, first, I love great schools.",2,0,1252,education students school,1
education students school,"Massachusetts, our schools are ranked number one of all fifty states.",2,0,1253,education students school,1
education students school,"And the key to great schools, great teachers.",2,0,1254,education students school,1
education students school,So I reject the idea that I don't believe in great teachers or more teachers.,2,0,1255,education students school,0
education students school,"Every school district, every state should make that decision on their own.",2,0,1256,education students school,1
vote voted republicans,The role of government: Look behind us.,2,0,1257,vote voted republicans,1
obama honored honor,The Constitution and the Declaration of Independence.,2,0,1258,obama honored honor,1
vote voted republicans,The role of government is to promote and protect the principles of those documents.,2,0,1259,vote voted republicans,1
congratulations congrats happy,"First, life and liberty.",2,0,1260,congratulations congrats happy,1
veterans honored military,"We have a responsibility to protect the lives and liberties of our people, and that means a military second to none.",2,0,1261,veterans honored military,1
spending bipartisan obamacare,I do not believe in cutting our military.,2,0,1262,spending bipartisan obamacare,0
veterans honored military,I believe in maintaining the strength of America's military.,2,0,1263,veterans honored military,1
vote voted republicans,"Second, in that line that says we are endowed by our creator with our rights, I believe we must maintain our commitment to religious tolerance and freedom in this country.",2,0,1264,vote voted republicans,1
president obama legislation,That statement also says that we are endowed by our creator with the right to pursue happiness as we choose.,2,0,1265,president obama legislation,1
obamacare healthcare seniors,"I interpret that as, one, making sure that those people who are less fortunate and can't care for themselves are cared by by one another.",2,0,1266,obamacare healthcare seniors,1
obamacare healthcare seniors,"We're a nation that believes that we're all children of the same god and we care for those that have difficulties, those that are elderly and have problems and challenges, those that are disabled.",2,0,1267,obamacare healthcare seniors,1
sen pass agree,We care for them.,2,0,1268,sen pass agree,1
energy obama obamacare,"And we we look for discovery and innovation, all these things desired out of the American heart to provide the pursuit of happiness for our citizens.",2,0,1269,energy obama obamacare,1
vote voted republicans,But we also believe in maintaining for individuals the right to pursue their dreams and not to have the government substitute itself for the rights of free individuals.,2,0,1270,vote voted republicans,1
jobs economy job,"And what we're seeing right now is, in my view, a a trickle down government approach, which has government thinking it can do a better job than free people pursuing their drea Miss And it's not working.",2,0,1271,jobs economy job,0
jobs economy job,And the proof of that is twenty three million people out of work.,2,0,1272,jobs economy job,1
workers obamacare jobs,The proof of that is one out of six people in poverty.,2,0,1273,workers obamacare jobs,2
jobs economy job,The proof of that is we've gone from thirty two million on food stamps to forty seven million on food stamps.,2,0,1274,jobs economy job,2
jobs economy job,The proof of that is that fifty percent of college graduates this year can't find work.,2,0,1275,jobs economy job,0
president obama legislation,We know that the path we're taking is not working.,2,0,1276,president obama legislation,0
sen pass agree,It's time for a new path.,2,0,1277,sen pass agree,1
education students school,"Well, the primary responsibility for education is is, of course, at the state and local level.",2,0,1278,education students school,1
vote voted republicans,But the federal government also can play a very important role.,2,0,1279,vote voted republicans,1
obama president congressman,"And I and I agree with Secretary Arne Duncan, he's some ideas he's put forward on Race to the Top, not all of them, but some of them I agree with and and congratulate him for pursuing that.",2,0,1280,obama president congressman,1
education students school,The federal government can get local and and state schools to do a better job.,2,0,1281,education students school,1
news read listen,"My own view, by the way, is I've added to that.",2,0,1282,news read listen,2
education students school,"I happen to believe, I want the kids that are getting federal dollars from IDEA or Title I these are disabled kids or or or poor kids or or lower income kids, rather, I want them to be able to go to the school of their choice.",2,0,1283,education students school,0
education students school,"So all federal funds, instead of going to the to the state or to the school district, I'd have go, if you will, follow the child and let the parent and the child decide where to send their their their student.",2,0,1284,education students school,1
president obama legislation,"Mister President, Mister President, you're entitled as the president to your own airplane and to your own house, but not to your own facts.",2,0,1285,president obama legislation,0
education students school,"All right, I'm not going to cut education funding.",2,0,1286,education students school,0
education students school,I don't have any plan to cut education funding and and grants that go to people going to college.,2,0,1287,education students school,0
sen pass agree,I'm planning on to grow.,2,0,1288,sen pass agree,2
president obama legislation,So I'm not planning on making changes there.,2,0,1289,president obama legislation,2
spending bipartisan obamacare,"But you make a very good point, which is that the place you put your money just makes a pretty clear indication of where your heart is.",2,0,1290,spending bipartisan obamacare,1
jobs economy job,You put dollar ninety billion into into green jobs.,2,0,1291,jobs economy job,1
energy obama obamacare,"And I look, I'm all in favor of green energy.",2,0,1292,energy obama obamacare,1
education students school,"dollar ninety billion, that would have that would have hired two million teachers.",2,0,1293,education students school,1
sen pass agree,dollar ninety billion.,2,0,1294,sen pass agree,1
businesses business economic,"And these businesses, many of them have gone out of business, I think about half of them, of the ones have been invested in have gone out of business.",2,0,1295,businesses business economic,0
vote voted republicans,A number of them happened to be owned by people who were contributors to your campaigns.,2,0,1296,vote voted republicans,0
obamacare healthcare insurance,"Look, the right course for America's government, we were talking about the role of government, is not to become the economic player, picking winners and losers, telling people what kind of health treatment they can receive, taking over the health care system that has existed in this country for a long, long time and has produced the best health records in the world.",2,0,1297,obamacare healthcare insurance,1
spending bipartisan obamacare,"The right answer for government is say, How do we make the private sector become more efficient and more effective?",2,0,1298,spending bipartisan obamacare,1
education students school,How do we get schools to be more competitive?,2,0,1299,education students school,1
sen pass agree,Let's grade them.,2,0,1300,sen pass agree,2
education students school,"I propose we grade our schools so parents know which schools are succeeding and failing, so they can take their child to a to a school that he's being more successful.",2,0,1301,education students school,1
education students school,I don't want to cut our commitment to education.,2,0,1302,education students school,1
businesses business economic,I wanted to make it more effective and efficient.,2,0,1303,businesses business economic,1
meeting meet met,"And by the way, I've had that experience.",2,0,1304,meeting meet met,2
sen pass agree,I don't just talk about it.,2,0,1305,sen pass agree,1
sen pass agree,I've been there.,2,0,1306,sen pass agree,1
education students school,Massachusetts schools are ranked number one in the nation.,2,0,1307,education students school,1
education students school,This is not because I didn't have commitment to education.,2,0,1308,education students school,1
education students school,It's because I care about education for all of our kids.,2,0,1309,education students school,1
meeting meet met,"Jim, I had the great experience it didn't seem like it at the time of being elected in a state where my legislature was eighty seven percent Democrat.",2,0,1310,meeting meet met,1
congress bipartisan congressional,And that meant I figured out from day one I had to get along and I had to work across the aisle to get anything done.,2,0,1311,congress bipartisan congressional,1
education students school,We drove our schools to be number one in the nation.,2,0,1312,education students school,1
spending bipartisan obamacare,We cut taxes nineteen times.,2,0,1313,spending bipartisan obamacare,1
obama president congressman,"We as president, I will sit on day one actually, the day after I get elected I'll sit down with leaders the Democratic leaders, as well as Republican leaders, and continue as we did in my state we met every Monday for a couple hours, talked about the issues and the challenges in the in the in our state in that case.",2,0,1314,obama president congressman,1
syria war obama,"We have to work on a collaborative basis, not because we're going to compromise our principle, but because there's common ground.",2,0,1315,syria war obama,2
jobs economy job,"And the challenges America faces right now look, the reason I'm in this race is there are people that are really hurting today in this country.",2,0,1316,jobs economy job,1
spending bipartisan obamacare,And we face this deficit could crush the future generations.,2,0,1317,spending bipartisan obamacare,0
syria obama war,"What's happening in the Middle East, there are developments around the world that are of real concern.",2,0,1318,syria obama war,0
vote voted republicans,And Republicans and Democrats both love America.,2,0,1319,vote voted republicans,1
congress bipartisan congressional,But we need to have leadership leadership in Washington that will actually bring people together and get the job done and could not care less if if it's a Republican or a Democrat.,2,0,1320,congress bipartisan congressional,1
sen pass agree,I've done it before.,2,0,1321,sen pass agree,1
sen pass agree,I'll do it again.,2,0,1322,sen pass agree,1
congratulations congrats happy,"Thank you, Jim, and Mister President.",2,0,1323,congratulations congrats happy,1
congrats congratulations honored,And thank you for tuning in this evening.,2,0,1324,congrats congratulations honored,1
vote voted republicans,This is a this is an important election and I'm concerned about America.,2,0,1325,vote voted republicans,1
president obama legislation,I'm concerned about the direction America has been taking over the last four years.,2,0,1326,president obama legislation,0
vote voted republicans,I I know this is bigger than an election about the two of us as individuals.,2,0,1327,vote voted republicans,1
vote voted republicans,It's bigger than our respective parties.,2,0,1328,vote voted republicans,1
vote voted republicans,It's an election about the course of America.,2,0,1329,vote voted republicans,1
education students school,What kind of America do you want to have for yourself and for your children.,2,0,1330,education students school,1
obama president congressman,"And there really are two very different paths that we began speaking about this evening, and over the course of this month we're going to have two more presidential debates and a vice presidential debate.",2,0,1331,obama president congressman,1
syria war obama,We're talk about those two paths.,2,0,1332,syria war obama,1
president obama legislation,But they lead in very different directions.,2,0,1333,president obama legislation,0
president obama legislation,And it's not just looking to our words that you have to take in evidence of where they go.,2,0,1334,president obama legislation,1
sen pass agree,You can look at the record.,2,0,1335,sen pass agree,2
spending bipartisan obamacare,There's no question in my mind that if the president were to be reelected you'll continue to see a middle class squeeze with incomes going down and prices going up.,2,0,1336,spending bipartisan obamacare,0
workers obamacare jobs,I'll get incomes up again.,2,0,1337,workers obamacare jobs,2
jobs economy job,You'll see chronic unemployment.,2,0,1338,jobs economy job,0
jobs economy job,We've had forty three straight months with unemployment above eight percent.,2,0,1339,jobs economy job,1
jobs economy job,If I'm president I will create help create twelve million new jobs in this country with rising incomes.,2,0,1340,jobs economy job,1
obamacare healthcare insurance,"If the president's reelected, Obamacare will be fully installed.",2,0,1341,obamacare healthcare insurance,1
obamacare healthcare insurance,In my view that's going to mean a whole different way of life for people who counted on the insurance plan they had in the past.,2,0,1342,obamacare healthcare insurance,1
sen pass agree,Many will lose it.,2,0,1343,sen pass agree,1
obamacare healthcare insurance,You're going to see health premiums go up by some dollar two thousand five hundred per family.,2,0,1344,obamacare healthcare insurance,0
vote voted republicans,If I'm elected we won't have Obama.,2,0,1345,vote voted republicans,0
obamacare healthcare seniors,We'll put in place the kind of principles that I put in place in my own state and allow each state to craft their own programs to get people insured and we'll focus on getting the cost of health care down.,2,0,1346,obamacare healthcare seniors,1
obamacare healthcare seniors,If the president were to be reelected you're going to see a dollar seven hundred sixteen billion cut to Medicare.,2,0,1347,obamacare healthcare seniors,0
obamacare healthcare seniors,You'll have four million people who will lose Medicare Advantage.,2,0,1348,obamacare healthcare seniors,0
obamacare healthcare seniors,You'll have hospital and providers that'll no longer accept Medicare patients.,2,0,1349,obamacare healthcare seniors,0
obamacare healthcare seniors,I'll restore that dollar seven hundred sixteen billion to Medicare.,2,0,1350,obamacare healthcare seniors,1
veterans honored military,"And finally, military.",2,0,1351,veterans honored military,1
